# Parameter sweep (sweep)
# Simulation    : driftdiffusion
# Sweep variable: $Vb
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
0 0 0
0.1 -2265.94 2265.94
0.2 -4531.88 4531.88
0.3 -6797.82 6797.82
0.4 -9063.75 9063.75
0.5 -11329.7 11329.7
0.6 -13595.6 13595.6
0.7 -15861.6 15861.6
0.8 -18127.5 18127.5
0.9 -20393.4 20393.4
1 -22659.4 22659.4
