# Parameter sweep (sweep)
# Simulation    : dd
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
0 0 0
0.02 -2.33803e-09 2.33803e-09
0.04 -5.888e-09 5.888e-09
0.06 -1.23923e-08 1.23923e-08
0.08 -2.23689e-08 2.23689e-08
0.1 -3.33251e-08 3.33251e-08
0.12 -4.97742e-08 4.97742e-08
0.14 -8.13243e-08 8.13243e-08
0.16 -1.15173e-07 1.15173e-07
0.18 -1.82596e-07 1.82596e-07
0.2 -2.84474e-07 2.84474e-07
0.22 -4.26091e-07 4.26091e-07
0.24 -6.49641e-07 6.49641e-07
0.26 -9.71994e-07 9.71994e-07
0.28 -1.4766e-06 1.4766e-06
0.3 -2.24443e-06 2.24443e-06
0.32 -3.43531e-06 3.43531e-06
0.34 -5.31915e-06 5.31915e-06
0.36 -8.27711e-06 8.27711e-06
0.38 -1.31028e-05 1.31028e-05
0.4 -2.1178e-05 2.1178e-05
0.42 -3.49303e-05 3.49303e-05
0.44 -5.92884e-05 5.92884e-05
0.46 -0.000103672 0.000103672
0.48 -0.000187234 0.000187234
0.5 -0.000348926 0.000348926
0.52 -0.00067029 0.00067029
0.54 -0.00132231 0.00132231
0.56 -0.00266767 0.00266767
0.58 -0.00547975 0.00547975
0.6 -0.0114153 0.0114153
0.62 -0.024034 0.024034
0.64 -0.0509996 0.0509996
0.66 -0.10883 0.10883
0.68 -0.233124 0.233124
0.7 -0.500463 0.500463
0.72 -1.07474 1.07474
0.74 -2.30258 2.30258
0.76 -4.89836 4.89836
0.78 -10.258 10.258
0.8 -20.8376 20.8376
0.82 -40.2102 40.2102
0.84 -72.1731 72.1731
0.86 -119.149 119.149
0.88 -181.43 181.43
0.9 -257.861 257.861
0.92 -346.872 346.872
0.94 -447.059 447.059
0.96 -557.338 557.338
0.98 -676.921 676.921
1 -805.245 805.245
1.02 -941.909 941.909
1.04 -1086.63 1086.63
1.06 -1239.19 1239.19
1.08 -1399.47 1399.47
1.1 -1567.37 1567.37
1.12 -1742.83 1742.83
1.14 -1925.84 1925.84
1.16 -2116.41 2116.41
1.18 -2314.57 2314.57
1.2 -2520.37 2520.37
