# Parameter sweep (sweep)
# Simulation: driftdiffusion_1
# Data:
#    * Contact currents. Units Acm^-2
#
# Vb     anode  cathode
0   0   0
0.01   -1.52726732578e-09   1.60753938547e-09
0.02   -2.62759913874e-09   3.463586337e-09
0.03   -5.58123552558e-09   5.66892999799e-09
0.04   -8.71549177293e-09   8.30784670139e-09
0.05   -1.19033273147e-08   1.14830799879e-08
0.06   -1.73855374528e-08   1.53199090392e-08
0.07   -1.84298769696e-08   1.99711690229e-08
0.08   -2.69640398791e-08   2.56234409361e-08
0.09   -3.08392837616e-08   3.25046793983e-08
0.1   -4.28899073219e-08   4.08936109829e-08
0.11   -4.99682235236e-08   5.11313166093e-08
0.12   -5.72780120699e-08   6.36355136779e-08
0.13   -7.76551190866e-08   7.89181830405e-08
0.14   -1.02167575835e-07   9.76073503372e-08
0.15   -1.27820327163e-07   1.20474041128e-07
0.16   -1.54844422329e-07   1.48465698744e-07
0.17   -1.83292057767e-07   1.82747701724e-07
0.18   -2.26202322448e-07   2.24755070046e-07
0.19   -2.72335685164e-07   2.76257041449e-07
0.2   -3.28880292462e-07   3.39437980024e-07
0.21   -4.1243028408e-07   4.16999117078e-07
0.22   -5.11398369336e-07   5.122870145e-07
0.23   -6.27916912227e-07   6.29456517478e-07
0.24   -7.87959355393e-07   7.73678517257e-07
0.25   -9.63782620549e-07   9.5140634595e-07
0.26   -1.1749084569e-06   1.17071946031e-06
0.27   -1.45304768228e-06   1.44176979698e-06
0.28   -1.77859180632e-06   1.77736559482e-06
0.29   -2.21201481197e-06   2.19374073513e-06
0.3   -2.70294757012e-06   2.71157642385e-06
0.31   -3.35617583488e-06   3.35736874698e-06
0.32   -4.16488108336e-06   4.16527381943e-06
0.33   -5.17006502342e-06   5.17961703405e-06
0.34   -6.46918438776e-06   6.4583318357e-06
0.35   -8.0660332961e-06   8.07770743491e-06
0.36   -1.01399195549e-05   1.01389899725e-05
0.37   -1.27866908009e-05   1.27776213637e-05
0.38   -1.61843068575e-05   1.61762487101e-05
0.39   -2.05802277466e-05   2.05831452939e-05
0.4   -2.63304994202e-05   2.63384256789e-05
0.41   -3.39268676729e-05   3.3911520963e-05
0.42   -4.39880246475e-05   4.39549652334e-05
0.43   -5.73679652111e-05   5.73818649656e-05
0.44   -7.54899583629e-05   7.5477823678e-05
0.45   -0.000100021180718   0.000100063080713
0.46   -0.000133724928295   0.000133727938335
0.47   -0.000180129117934   0.00018017529073
0.48   -0.000244701764021   0.000244719836676
0.49   -0.000334990920147   0.000335016724069
0.5   -0.000462153213721   0.000462126411154
0.51   -0.000642111116601   0.000642072559915
0.52   -0.000898121613361   0.000898123318242
0.53   -0.00126413076597   0.00126413447714
0.54   -0.00178943370575   0.00178945198133
0.55   -0.00254610943446   0.0025461050623
0.56   -0.00363939243917   0.00363936505537
0.57   -0.00522325490879   0.00522325044452
0.58   -0.00752330005264   0.00752330178901
0.59   -0.0108700189941   0.0108700422875
0.6   -0.0157481551717   0.0157481438605
0.61   -0.0228686746645   0.0228686731205
0.62   -0.0332752392927   0.0332752430935
0.63   -0.0484999341059   0.0484999475544
0.64   -0.0707923214553   0.0707923263487
0.65   -0.103455287486   0.103455325971
0.66   -0.151337694029   0.151337703616
0.67   -0.221554469604   0.22155449633
0.68   -0.324538496204   0.324538490539
0.69   -0.475568892719   0.475568907317
0.7   -0.696981255436   0.696981275357
0.71   -1.02133506971   1.02133506557
0.72   -1.49589704179   1.49589702758
0.73   -2.18886692206   2.1888669425
0.74   -3.19777573332   3.19777577056
0.75   -4.66031444545   4.66031448626
0.76   -6.76731384225   6.76731387797
0.77   -9.77642957528   9.77642962137
0.78   -14.0231039546   14.0231039932
0.79   -19.9228683096   19.9228683329
0.8   -27.95743341   27.9574333555
0.81   -38.6389910118   38.6389907589
0.82   -52.4549260617   52.4549255071
0.83   -69.8065320864   69.806531029
0.84   -90.9622757633   90.96227398
0.85   -116.041243536   116.041240869
0.86   -145.028074195   145.028070429
0.87   -177.80784128   177.807836668
0.88   -214.20580905   214.205803435
0.89   -254.021366698   254.021360126
0.9   -297.051943652   297.051936226
0.91   -343.107294916   343.107286811
0.92   -392.016499542   392.016490675
0.93   -443.630218229   443.630208792
0.94   -497.820232108   497.820221916
0.95   -554.477628114   554.477617326
0.96   -613.510467049   613.510455652
0.97   -674.841395076   674.841383098
0.98   -738.405431462   738.405418932
0.99   -804.148027756   804.148014744
1   -872.023420597   872.023407157
1.01   -941.993262709   941.993248826
1.02   -1014.02550041   1014.02548616
1.03   -1088.09346133   1088.09344662
1.04   -1164.17511568   1164.1751008
1.05   -1242.25248006   1242.25246482
1.06   -1322.31113343   1322.31111802
1.07   -1404.33982431   1404.33980882
1.08   -1488.33014765   1488.33013198
1.09   -1574.27627611   1574.27626056
1.1   -1662.17473391   1662.17471843
1.11   -1752.02420133   1752.02418583
1.12   -1843.82534303   1843.82532772
1.13   -1937.58065389   1937.58063884
1.14   -2033.29431652   2033.29430171
1.15   -2130.97206735   2130.97205301
1.16   -2230.62106879   2230.62105473
1.17   -2332.24978404   2332.24977057
1.18   -2435.86785517   2435.86784208
1.19   -2541.4859812   2541.4859686
1.2   -2649.11579776   2649.11578567
