# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-200 0.0798784 -1.81677 0 -1.59928 8.06845e+17 3.69506e+15 3350.83 145.842 -1670.51 0 0 0 0 0 -569920 0 0 
-195.026 0.0790475 -1.8176 -0.000645274 -1.62059 8.12613e+17 8.15954e+15 3350.83 145.842 -1623.14 0 0 0 0 0 -569920 0 0 
-190.163 0.0782806 -1.81837 -0.00127229 -1.63261 8.16989e+17 1.26107e+16 3350.83 145.842 -1558.67 0 0 0 0 0 -569920 0 0 
-185.406 0.0775477 -1.8191 -0.00188225 -1.64101 8.20852e+17 1.69582e+16 3350.83 145.842 -1532.59 0 0 0 0 0 -569920 0 0 
-180.755 0.0768387 -1.81981 -0.00247587 -1.6475 8.24496e+17 2.12064e+16 3350.83 145.842 -1519.77 0 0 0 0 0 -569920 0 0 
-176.207 0.0761495 -1.8205 -0.00305369 -1.65283 8.28026e+17 2.53733e+16 3350.83 145.842 -1512.15 0 0 0 0 0 -569920 0 0 
-171.759 0.0754783 -1.82117 -0.00361619 -1.65738 8.31489e+17 2.94778e+16 3350.83 145.842 -1507.02 0 0 0 0 0 -569920 0 0 
-167.41 0.0748237 -1.82182 -0.00416377 -1.66137 8.34909e+17 3.35377e+16 3350.83 145.842 -1503.39 0 0 0 0 0 -569920 0 0 
-163.156 0.0741849 -1.82246 -0.00469686 -1.66494 8.38302e+17 3.75682e+16 3350.83 145.842 -1500.86 0 0 0 0 0 -569920 0 0 
-158.997 0.0735611 -1.82309 -0.00521584 -1.66819 8.41681e+17 4.15827e+16 3350.83 145.842 -1499.22 0 0 0 0 0 -569920 0 0 
-154.93 0.0729516 -1.8237 -0.00572108 -1.67119 8.45056e+17 4.55922e+16 3350.83 145.842 -1498.36 0 0 0 0 0 -569920 0 0 
-150.952 0.0723557 -1.82429 -0.00621293 -1.67396 8.48435e+17 4.96064e+16 3350.83 145.842 -1498.17 0 0 0 0 0 -569920 0 0 
