# EFA eigenstates (quantum_el)
# Particle: electron
#
# Index EigenEnergy     Occupation  FermiLevel Temperature
      0   -0.147624        0.99607 -0.00452871         300
      1   -0.144198       0.995516 -0.00452805         300
      2   -0.143564       0.995405 -0.00452806         300
      3   -0.138629       0.994444 -0.00452774         300
      4   -0.137893       0.994284 -0.00452775         300
      5   -0.135107       0.993638 -0.00452883         300
      6   -0.131497       0.992692  -0.0045274         300
      7   -0.129928       0.992238 -0.00452771         300
      8   -0.124536       0.990454 -0.00452881         300
      9   -0.124158       0.990315 -0.00452874         300
     10   -0.121517       0.989285 -0.00452745         300
     11   -0.121434       0.989251 -0.00452747         300
     12   -0.111142       0.984077  -0.0045287         300
     13   -0.110554       0.983717 -0.00452864         300
     14   -0.109914       0.983317 -0.00452749         300
     15    -0.10971       0.983187 -0.00452743         300
     16   -0.109202       0.982858 -0.00452869         300
     17  -0.0987692       0.974553 -0.00452842         300
     18   -0.096055       0.971816 -0.00452768         300
     19  -0.0949456       0.970617 -0.00452733         300
     20  -0.0922431       0.967483  -0.0045286         300
