# Parameter sweep (sweep)
# Simulation    : dd
# Sweep variable: $bias
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# IQE                                     real
# anode.current            A              real
# cathode.current          A              real
# --------------------------------------------------
#
# $bias IQE anode.current cathode.current 
0 0 0 0
0.05 1.79243e-45 -1.71469e-22 1.71168e-22
0.1 1.04383e-44 -5.87337e-22 5.863e-22
0.15 7.26823e-44 -6.38634e-22 6.37483e-22
0.2 2.69458e-43 -1.2065e-21 1.20435e-21
0.25 1.49789e-42 -1.50411e-21 1.5014e-21
0.3 7.49812e-42 -2.07912e-21 2.07538e-21
0.35 6.43391e-41 -1.67627e-21 1.67322e-21
0.4 4.79431e-40 -1.55619e-21 1.55334e-21
0.45 2.53136e-39 -2.03882e-21 2.03518e-21
0.5 1.0821e-38 -3.29942e-21 3.29343e-21
0.55 1.34586e-37 -1.83515e-21 1.83181e-21
0.6 5.15416e-37 -3.31488e-21 3.30891e-21
0.65 2.64661e-36 -4.46571e-21 4.45773e-21
0.7 2.13989e-35 -3.82069e-21 3.81394e-21
0.75 1.07563e-34 -5.25812e-21 5.24881e-21
0.8 6.34088e-34 -6.17021e-21 6.15935e-21
0.85 6.33856e-33 -4.27013e-21 4.26235e-21
0.9 3.59519e-32 -5.20761e-21 5.19834e-21
0.95 3.43635e-31 -3.76896e-21 3.76203e-21
1 2.89045e-30 -3.09914e-21 3.09349e-21
1.05 1.30653e-29 -4.741e-21 4.73268e-21
1.1 7.83648e-29 -5.46412e-21 5.45433e-21
1.15 4.4228e-28 -6.68706e-21 6.67504e-21
1.2 4.62883e-27 -4.40696e-21 4.39912e-21
1.25 1.99011e-26 -7.05747e-21 7.04458e-21
1.3 1.24046e-25 -7.7835e-21 7.76969e-21
1.35 1.13126e-24 -5.86379e-21 5.85314e-21
1.4 5.10888e-24 -8.91727e-21 8.90131e-21
1.45 3.65287e-23 -8.56051e-21 8.54526e-21
1.5 3.26621e-22 -6.56481e-21 6.55295e-21
1.55 2.19355e-21 -6.69196e-21 6.68001e-21
1.6 1.03693e-20 -9.67184e-21 9.65444e-21
1.65 8.70676e-20 -7.84939e-21 7.83529e-21
1.7 4.76391e-19 -9.74557e-21 9.72815e-21
1.75 4.23308e-18 -7.4232e-21 7.40973e-21
1.8 1.49714e-17 -1.41423e-20 1.41173e-20
1.85 1.69638e-16 -8.36768e-21 8.35265e-21
1.9 6.24441e-16 -1.51497e-20 1.51227e-20
1.95 4.9554e-15 -1.26381e-20 1.26158e-20
2 2.63461e-14 -1.56195e-20 1.55918e-20
2.05 2.6235e-13 -1.02221e-20 1.02039e-20
2.1 1.41625e-12 -1.22286e-20 1.22077e-20
2.15 1.11414e-11 -9.94272e-21 9.92612e-21
2.2 5.06171e-11 -1.38546e-20 1.38336e-20
2.25 2.31541e-10 -1.89683e-20 1.8945e-20
2.3 1.04177e-09 -2.61099e-20 2.60894e-20
2.35 3.0901e-09 -5.39176e-20 5.38891e-20
2.4 9.64707e-09 -1.0458e-19 1.04563e-19
2.45 2.47417e-08 -2.44178e-19 2.44165e-19
2.5 6.08277e-08 -5.88053e-19 5.88031e-19
2.55 1.48084e-07 -1.41408e-18 1.41406e-18
2.6 3.57114e-07 -3.39456e-18 3.39453e-18
2.65 8.56558e-07 -8.1034e-18 8.10337e-18
2.7 2.0452e-06 -1.92268e-17 1.92268e-17
2.75 4.85291e-06 -4.54596e-17 4.54595e-17
2.8 1.13983e-05 -1.07785e-16 1.07785e-16
2.85 2.62762e-05 -2.60061e-16 2.60061e-16
2.9 5.88483e-05 -6.53678e-16 6.53678e-16
2.95 0.000128039 -1.74828e-15 1.74828e-15
3 0.000276374 -4.99653e-15 4.99653e-15
3.05 0.000614302 -1.5065e-14 1.5065e-14
3.1 0.00145308 -4.69544e-14 4.69544e-14
3.15 0.0037127 -1.47842e-13 1.47842e-13
3.2 0.0100051 -4.5882e-13 4.5882e-13
3.25 0.0265176 -1.36674e-12 1.36674e-12
3.3 0.0644611 -3.84416e-12 3.84416e-12
3.35 0.13676 -1.05719e-11 1.05719e-11
3.4 0.25036 -2.97749e-11 2.97749e-11
3.45 0.394476 -8.66234e-11 8.66234e-11
3.5 0.542012 -2.56854e-10 2.56854e-10
3.55 0.668832 -7.63473e-10 7.63473e-10
3.6 0.764088 -2.23942e-09 2.23942e-09
3.65 0.826393 -6.33735e-09 6.33735e-09
3.7 0.856339 -1.6584e-08 1.6584e-08
3.75 0.851854 -3.79517e-08 3.79517e-08
3.8 0.810737 -7.42209e-08 7.42208e-08
