# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# drain.current            A              real
# gate.current             A              real
# source.current           A              real
# --------------------------------------------------
#
# $Vd drain.current gate.current source.current 
0 0 0 0
0.05 -1.89542e-11 0 1.89542e-11
0.1 -1.91843e-11 0 1.91843e-11
0.15 -1.93947e-11 0 1.93947e-11
0.2 -1.95876e-11 0 1.95876e-11
0.25 -1.97655e-11 0 1.97655e-11
0.3 -1.99316e-11 0 1.99316e-11
0.35 -2.00871e-11 0 2.00871e-11
0.4 -2.02338e-11 0 2.02338e-11
0.45 -2.03729e-11 0 2.03729e-11
0.5 -2.05053e-11 0 2.05053e-11
0.55 -2.06318e-11 0 2.06318e-11
0.6 -2.0753e-11 0 2.0753e-11
0.65 -2.08694e-11 0 2.08694e-11
0.7 -2.09816e-11 0 2.09816e-11
0.75 -2.10898e-11 0 2.10898e-11
0.8 -2.11944e-11 0 2.11944e-11
0.85 -2.12958e-11 0 2.12958e-11
0.9 -2.13941e-11 0 2.13941e-11
0.95 -2.14896e-11 0 2.14896e-11
1 -2.15825e-11 0 2.15825e-11
1.05 -2.16729e-11 0 2.16729e-11
1.1 -2.17611e-11 0 2.17611e-11
1.15 -2.18471e-11 0 2.18471e-11
1.2 -2.19311e-11 0 2.19311e-11
1.25 -2.20131e-11 0 2.20131e-11
1.3 -2.20934e-11 0 2.20934e-11
1.35 -2.2172e-11 0 2.2172e-11
1.4 -2.2249e-11 0 2.2249e-11
1.45 -2.23244e-11 0 2.23244e-11
1.5 -2.23984e-11 0 2.23984e-11
1.55 -2.24709e-11 0 2.24709e-11
1.6 -2.25422e-11 0 2.25422e-11
1.65 -2.26122e-11 0 2.26122e-11
1.7 -2.2681e-11 0 2.2681e-11
1.75 -2.27486e-11 0 2.27486e-11
1.8 -2.28151e-11 0 2.28151e-11
1.85 -2.28805e-11 0 2.28805e-11
1.9 -2.29449e-11 0 2.29449e-11
1.95 -2.30083e-11 0 2.30083e-11
2 -2.30708e-11 0 2.30708e-11
2.05 -2.31324e-11 0 2.31324e-11
2.1 -2.31931e-11 0 2.31931e-11
2.15 -2.32529e-11 0 2.32529e-11
2.2 -2.33119e-11 0 2.33119e-11
2.25 -2.33701e-11 0 2.33701e-11
2.3 -2.34276e-11 0 2.34276e-11
2.35 -2.34843e-11 0 2.34843e-11
2.4 -2.35403e-11 0 2.35403e-11
2.45 -2.35957e-11 0 2.35957e-11
2.5 -2.36503e-11 0 2.36503e-11
2.55 -2.37043e-11 0 2.37043e-11
2.6 -2.37577e-11 0 2.37577e-11
2.65 -2.38105e-11 0 2.38105e-11
2.7 -2.38627e-11 0 2.38627e-11
2.75 -2.39143e-11 0 2.39143e-11
2.8 -2.39654e-11 0 2.39654e-11
2.85 -2.40159e-11 0 2.40159e-11
2.9 -2.40659e-11 0 2.40659e-11
2.95 -2.41154e-11 0 2.41154e-11
3 -2.41644e-11 0 2.41644e-11
3.05 -2.42129e-11 0 2.42129e-11
3.1 -2.42609e-11 0 2.42609e-11
3.15 -2.43085e-11 0 2.43085e-11
3.2 -2.43556e-11 0 2.43556e-11
3.25 -2.44023e-11 0 2.44023e-11
3.3 -2.44486e-11 0 2.44486e-11
3.35 -2.44945e-11 0 2.44945e-11
3.4 -2.45399e-11 0 2.45399e-11
3.45 -2.45849e-11 0 2.45849e-11
3.5 -2.46296e-11 0 2.46296e-11
