# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# drain.current            A              real
# gate.current             A              real
# source.current           A              real
# --------------------------------------------------
#
# $Vd drain.current gate.current source.current 
0 0 0 0
0.05 -1.854e-06 0 1.854e-06
0.1 -2.63014e-06 0 2.63014e-06
0.15 -3.0906e-06 0 3.0906e-06
0.2 -3.51189e-06 0 3.51189e-06
0.25 -3.89736e-06 0 3.89736e-06
0.3 -4.24831e-06 0 4.24831e-06
0.35 -4.5678e-06 0 4.5678e-06
0.4 -4.85953e-06 0 4.85953e-06
0.45 -5.12197e-06 0 5.12197e-06
0.5 -5.35174e-06 0 5.35174e-06
0.55 -5.54733e-06 0 5.54733e-06
0.6 -5.70582e-06 0 5.70582e-06
0.65 -5.82387e-06 0 5.82387e-06
0.7 -5.90134e-06 0 5.90134e-06
0.75 -5.94608e-06 0 5.94608e-06
0.8 -5.9692e-06 0 5.9692e-06
0.85 -5.98082e-06 0 5.98082e-06
0.9 -5.98738e-06 0 5.98738e-06
0.95 -5.99177e-06 0 5.99177e-06
1 -5.9951e-06 0 5.9951e-06
1.05 -5.99779e-06 0 5.99779e-06
1.1 -6.00004e-06 0 6.00004e-06
1.15 -6.002e-06 0 6.002e-06
1.2 -6.00371e-06 0 6.00371e-06
1.25 -6.00525e-06 0 6.00525e-06
1.3 -6.00663e-06 0 6.00663e-06
1.35 -6.0079e-06 0 6.0079e-06
1.4 -6.00906e-06 0 6.00906e-06
1.45 -6.01014e-06 0 6.01014e-06
1.5 -6.01114e-06 0 6.01114e-06
1.55 -6.01208e-06 0 6.01208e-06
1.6 -6.01296e-06 0 6.01296e-06
1.65 -6.0138e-06 0 6.0138e-06
1.7 -6.01458e-06 0 6.01458e-06
1.75 -6.01533e-06 0 6.01533e-06
1.8 -6.01604e-06 0 6.01604e-06
1.85 -6.01672e-06 0 6.01672e-06
1.9 -6.01737e-06 0 6.01737e-06
1.95 -6.01799e-06 0 6.01799e-06
2 -6.01859e-06 0 6.01859e-06
2.05 -6.01916e-06 0 6.01916e-06
2.1 -6.01971e-06 0 6.01971e-06
2.15 -6.02024e-06 0 6.02024e-06
2.2 -6.02076e-06 0 6.02076e-06
2.25 -6.02125e-06 0 6.02125e-06
2.3 -6.02173e-06 0 6.02173e-06
2.35 -6.02219e-06 0 6.02219e-06
2.4 -6.02264e-06 0 6.02264e-06
2.45 -6.02308e-06 0 6.02308e-06
2.5 -6.0235e-06 0 6.0235e-06
2.55 -6.02392e-06 0 6.02392e-06
2.6 -6.02432e-06 0 6.02432e-06
2.65 -6.02471e-06 0 6.02471e-06
2.7 -6.02508e-06 0 6.02508e-06
2.75 -6.02545e-06 0 6.02545e-06
2.8 -6.02581e-06 0 6.02581e-06
2.85 -6.02616e-06 0 6.02616e-06
2.9 -6.02651e-06 0 6.02651e-06
2.95 -6.02684e-06 0 6.02684e-06
3 -6.02717e-06 0 6.02717e-06
3.05 -6.02748e-06 0 6.02748e-06
3.1 -6.0278e-06 0 6.0278e-06
3.15 -6.0281e-06 0 6.0281e-06
3.2 -6.0284e-06 0 6.0284e-06
3.25 -6.02869e-06 0 6.02869e-06
3.3 -6.02897e-06 0 6.02897e-06
3.35 -6.02925e-06 0 6.02925e-06
3.4 -6.02953e-06 0 6.02953e-06
3.45 -6.0298e-06 0 6.0298e-06
3.5 -6.03006e-06 0 6.03006e-06
