# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# drain.current            A              real
# gate.current             A              real
# source.current           A              real
# --------------------------------------------------
#
# $Vd drain.current gate.current source.current 
0 0 0 0
0.05 -2.06872e-06 -5.06985e-13 2.06872e-06
0.1 -2.97246e-06 8.85935e-14 2.97246e-06
0.15 -3.5056e-06 1.0448e-13 3.5056e-06
0.2 -4.02855e-06 1.20073e-13 4.02855e-06
0.25 -4.51191e-06 2.85649e-14 4.51191e-06
0.3 -4.95408e-06 1.47159e-13 4.95408e-06
0.35 -5.37178e-06 1.59606e-13 5.37178e-06
0.4 -5.77805e-06 1.7081e-13 5.77805e-06
0.45 -6.17955e-06 1.86768e-13 6.17955e-06
0.5 -6.57954e-06 1.96346e-13 6.57954e-06
0.55 -6.9761e-06 2.08223e-13 6.9761e-06
0.6 -7.3642e-06 2.19968e-13 7.3642e-06
0.65 -7.74145e-06 2.32564e-13 7.74145e-06
0.7 -8.10804e-06 2.41717e-13 8.10803e-06
0.75 -8.46446e-06 2.5248e-13 8.46446e-06
0.8 -8.81104e-06 2.63242e-13 8.81104e-06
0.85 -9.14848e-06 2.78693e-13 9.14848e-06
0.9 -9.47751e-06 2.82483e-13 9.47751e-06
0.95 -9.79845e-06 2.92049e-13 9.79845e-06
1 -1.01108e-05 3.01444e-13 1.01108e-05
1.05 -1.04137e-05 3.10664e-13 1.04137e-05
1.1 -1.07057e-05 3.19209e-13 1.07057e-05
1.15 -1.09859e-05 3.27436e-13 1.09859e-05
1.2 -1.12555e-05 3.35473e-13 1.12555e-05
1.25 -1.15163e-05 3.4231e-13 1.15163e-05
1.3 -1.1769e-05 3.50768e-13 1.1769e-05
1.35 -1.2014e-05 3.58073e-13 1.2014e-05
1.4 -1.22509e-05 3.63224e-13 1.22509e-05
1.45 -1.24794e-05 3.77115e-13 1.24794e-05
1.5 -1.26987e-05 3.78528e-13 1.26987e-05
1.55 -1.29096e-05 3.84152e-13 1.29096e-05
1.6 -1.31022e-05 3.90513e-13 1.31022e-05
1.65 -1.32651e-05 3.95375e-13 1.32651e-05
1.7 -1.34046e-05 3.70204e-13 1.34046e-05
1.75 -1.35278e-05 3.93555e-13 1.35278e-05
1.8 -1.36365e-05 4.08464e-13 1.36365e-05
1.85 -1.37276e-05 4.0897e-13 1.37276e-05
1.9 -1.37984e-05 4.11087e-13 1.37984e-05
1.95 -1.38508e-05 4.12822e-13 1.38508e-05
2 -1.38885e-05 4.13951e-13 1.38885e-05
2.05 -1.39144e-05 3.76227e-13 1.39144e-05
2.1 -1.3931e-05 3.82112e-13 1.3931e-05
2.15 -1.39409e-05 4.00415e-13 1.39409e-05
2.2 -1.39467e-05 4.13469e-13 1.39467e-05
2.25 -1.39504e-05 4.15088e-13 1.39504e-05
2.3 -1.3953e-05 4.1586e-13 1.3953e-05
2.35 -1.3955e-05 4.15937e-13 1.3955e-05
2.4 -1.39567e-05 4.15985e-13 1.39567e-05
2.45 -1.39582e-05 4.16029e-13 1.39582e-05
2.5 -1.39594e-05 4.16066e-13 1.39594e-05
2.55 -1.39605e-05 4.161e-13 1.39605e-05
2.6 -1.39616e-05 4.1613e-13 1.39616e-05
2.65 -1.39625e-05 4.16157e-13 1.39625e-05
2.7 -1.39633e-05 4.16183e-13 1.39633e-05
2.75 -1.39641e-05 4.16207e-13 1.39641e-05
2.8 -1.39648e-05 4.16228e-13 1.39648e-05
2.85 -1.39655e-05 4.16248e-13 1.39655e-05
2.9 -1.39662e-05 4.16268e-13 1.39662e-05
2.95 -1.39668e-05 4.16285e-13 1.39668e-05
3 -1.39673e-05 4.16302e-13 1.39673e-05
3.05 -1.39679e-05 4.16319e-13 1.39679e-05
3.1 -1.39684e-05 4.16334e-13 1.39684e-05
3.15 -1.39689e-05 4.16348e-13 1.39689e-05
3.2 -1.39693e-05 4.16363e-13 1.39693e-05
3.25 -1.39698e-05 4.16376e-13 1.39698e-05
3.3 -1.39702e-05 4.16389e-13 1.39702e-05
3.35 -1.39706e-05 4.16401e-13 1.39706e-05
3.4 -1.3971e-05 4.16413e-13 1.3971e-05
3.45 -1.39714e-05 4.16425e-13 1.39714e-05
3.5 -1.39718e-05 4.16436e-13 1.39718e-05
