# Parameter sweep (transchar)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# drain.current            A              real
# gate.current             A              real
# source.current           A              real
# --------------------------------------------------
#
# $Vg drain.current gate.current source.current 
2 -2.30413e-05 6.86758e-13 2.30413e-05
1.975 -2.28773e-05 6.81693e-13 2.28773e-05
1.95 -2.27067e-05 6.76778e-13 2.27067e-05
1.925 -2.25296e-05 6.71504e-13 2.25296e-05
1.9 -2.23456e-05 6.6602e-13 2.23456e-05
1.875 -2.21542e-05 6.65817e-13 2.21542e-05
1.85 -2.19555e-05 6.47699e-13 2.19555e-05
1.825 -2.175e-05 6.37463e-13 2.175e-05
1.8 -2.15384e-05 6.32394e-13 2.15384e-05
1.775 -2.13215e-05 6.24112e-13 2.13215e-05
1.75 -2.11003e-05 6.19802e-13 2.11003e-05
1.725 -2.08756e-05 6.19265e-13 2.08756e-05
1.7 -2.06485e-05 6.1468e-13 2.06485e-05
1.675 -2.04198e-05 6.08257e-13 2.04198e-05
1.65 -2.01898e-05 6.01717e-13 2.01898e-05
1.625 -1.99589e-05 5.94879e-13 1.99589e-05
1.6 -1.97272e-05 5.87977e-13 1.97272e-05
1.575 -1.94947e-05 5.81049e-13 1.94947e-05
1.55 -1.92615e-05 5.74098e-13 1.92615e-05
1.525 -1.90276e-05 5.67127e-13 1.90276e-05
1.5 -1.87931e-05 5.60135e-13 1.87931e-05
1.475 -1.85579e-05 5.53125e-13 1.85579e-05
1.45 -1.83221e-05 5.46098e-13 1.83221e-05
1.425 -1.80856e-05 5.39051e-13 1.80856e-05
1.4 -1.78486e-05 5.31984e-13 1.78486e-05
1.375 -1.76109e-05 5.24901e-13 1.76109e-05
1.35 -1.73726e-05 5.178e-13 1.73726e-05
1.325 -1.71338e-05 5.1068e-13 1.71338e-05
1.3 -1.68943e-05 5.03541e-13 1.68943e-05
1.275 -1.66542e-05 4.96385e-13 1.66542e-05
1.25 -1.64135e-05 4.89212e-13 1.64135e-05
1.225 -1.61722e-05 4.82021e-13 1.61722e-05
1.2 -1.59303e-05 4.74811e-13 1.59303e-05
1.175 -1.56878e-05 4.67582e-13 1.56878e-05
1.15 -1.54446e-05 4.60334e-13 1.54446e-05
1.125 -1.52008e-05 4.53068e-13 1.52008e-05
1.1 -1.49564e-05 4.45782e-13 1.49564e-05
1.075 -1.47113e-05 4.38477e-13 1.47113e-05
1.05 -1.44655e-05 4.3115e-13 1.44655e-05
1.025 -1.4219e-05 4.23804e-13 1.4219e-05
1 -1.39718e-05 4.16436e-13 1.39718e-05
0.975 -1.37239e-05 4.09047e-13 1.37239e-05
0.95 -1.34752e-05 4.01636e-13 1.34752e-05
0.925 -1.32258e-05 3.94202e-13 1.32258e-05
0.9 -1.29756e-05 3.86744e-13 1.29756e-05
0.875 -1.27246e-05 3.79263e-13 1.27246e-05
0.85 -1.24728e-05 3.71758e-13 1.24728e-05
0.825 -1.22201e-05 3.64227e-13 1.22201e-05
0.8 -1.19666e-05 3.5667e-13 1.19666e-05
0.775 -1.17122e-05 3.49086e-13 1.17122e-05
0.75 -1.14568e-05 3.41477e-13 1.14568e-05
0.725 -1.12006e-05 3.3384e-13 1.12006e-05
0.7 -1.09434e-05 3.26174e-13 1.09434e-05
0.675 -1.06853e-05 3.1848e-13 1.06853e-05
0.65 -1.04261e-05 3.10757e-13 1.04261e-05
0.625 -1.0166e-05 3.03004e-13 1.0166e-05
0.6 -9.90491e-06 2.95222e-13 9.90491e-06
0.575 -9.64276e-06 2.87408e-13 9.64276e-06
0.55 -9.37958e-06 2.79564e-13 9.37958e-06
0.525 -9.11535e-06 2.7169e-13 9.11535e-06
0.5 -8.85005e-06 2.63782e-13 8.85005e-06
0.475 -8.58367e-06 2.55844e-13 8.58367e-06
0.45 -8.31618e-06 2.47871e-13 8.31618e-06
0.425 -8.04757e-06 2.39865e-13 8.04757e-06
0.4 -7.7778e-06 2.31824e-13 7.7778e-06
0.375 -7.50685e-06 2.23749e-13 7.50685e-06
0.35 -7.23468e-06 2.15637e-13 7.23468e-06
0.325 -6.96127e-06 2.07488e-13 6.96127e-06
0.3 -6.68657e-06 1.993e-13 6.68657e-06
0.275 -6.41056e-06 1.91073e-13 6.41056e-06
0.25 -6.1332e-06 1.82805e-13 6.1332e-06
0.225 -5.85447e-06 1.74494e-13 5.85446e-06
0.2 -5.57431e-06 1.66142e-13 5.57431e-06
0.175 -5.29268e-06 1.57746e-13 5.29268e-06
0.15 -5.00951e-06 1.49302e-13 5.00951e-06
0.125 -4.72468e-06 1.40811e-13 4.72468e-06
0.1 -4.43808e-06 1.32282e-13 4.43808e-06
0.075 -4.14964e-06 1.23743e-13 4.14964e-06
0.05 -3.85942e-06 1.15222e-13 3.85942e-06
0.025 -3.56762e-06 1.06702e-13 3.56762e-06
0 -3.27454e-06 9.81423e-14 3.27454e-06
-0.025 -2.98015e-06 8.96251e-14 2.98015e-06
-0.05 -2.68345e-06 8.3589e-14 2.68345e-06
-0.075 -2.38279e-06 1.30679e-13 2.38279e-06
-0.1 -2.07835e-06 6.19484e-14 2.07835e-06
-0.125 -1.77256e-06 5.28378e-14 1.77256e-06
-0.15 -1.45599e-06 5.27052e-14 1.45599e-06
-0.175 -1.10373e-06 7.00039e-14 1.10373e-06
-0.2 -7.43184e-07 3.48254e-14 7.43184e-07
-0.225 -4.39189e-07 1.30899e-14 4.39189e-07
-0.25 -2.27861e-07 6.79109e-15 2.27861e-07
-0.275 -1.05546e-07 3.14577e-15 1.05546e-07
-0.3 -4.50884e-08 1.34396e-15 4.50884e-08
-0.325 -1.83594e-08 -3.4894e-16 1.83594e-08
-0.35 -7.2884e-09 2.16377e-16 7.2884e-09
-0.375 -2.85594e-09 8.55343e-17 2.85594e-09
-0.4 -1.11136e-09 3.3322e-17 1.11136e-09
-0.425 -4.30764e-10 1.14254e-17 4.30764e-10
