# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential Eg eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z CurrentDensity_x CurrentDensity_y CurrentDensity_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors NetRecombination SRHRecombination AugerRecombination OpticalGeneration 
-1 0.0425109 -1.0763 0 0 2.18097 1.11881 4.96051e+18 43.656 108.05 25.3161 0.00209855 0 0 0.174677 0 0 0.181707 0 0 -0.00703011 0 0 4.96051e+18 0 -1e+21 1.88369e-05 2.99885e-09 -1e+21 
-0.980036 0.0425109 -1.0763 4.22427e-09 -0.505746 2.18097 1.11881 4.96051e+18 1.36833e+10 108.05 46.277 0.00206374 0 0 0.174677 0 0 0.181548 0 0 -0.00687092 0 0 4.96051e+18 0 -9.95434e+20 4.56566e+18 6.84415e+14 -1e+21 
-0.960432 0.0425109 -1.0763 8.36544e-09 -0.541529 2.18097 1.11881 4.96051e+18 5.46155e+10 108.05 69.1304 0.00203083 0 0 0.174677 0 0 0.181238 0 0 -0.00656039 0 0 4.96051e+18 0 -9.81774e+20 1.82234e+19 2.73178e+15 -1e+21 
-0.941179 0.0425109 -1.0763 1.24253e-08 -0.555975 2.18097 1.11881 4.96051e+18 9.55016e+10 108.05 71.4903 0.00203204 0 0 0.174677 0 0 0.180937 0 0 -0.00625966 0 0 4.96051e+18 0 -9.6813e+20 3.18657e+19 4.77683e+15 -1e+21 
-0.922272 0.0425109 -1.0763 1.64058e-08 -0.564715 2.18097 1.11881 4.96051e+18 1.33915e+11 108.05 72.1566 0.00203206 0 0 0.174677 0 0 0.180646 0 0 -0.00596833 0 0 4.96051e+18 0 -9.5531e+20 4.46829e+19 6.6982e+15 -1e+21 
-0.903705 0.0425109 -1.0763 2.03085e-08 -0.570859 2.18097 1.11881 4.96051e+18 1.69842e+11 108.05 72.4633 0.00203222 0 0 0.174677 0 0 0.180363 0 0 -0.00568593 0 0 4.96051e+18 0 -9.43321e+20 5.66705e+19 8.49519e+15 -1e+21 
-0.885472 0.0425109 -1.0763 2.41352e-08 -0.575521 2.18097 1.11881 4.96051e+18 2.03406e+11 108.05 72.6381 0.00203237 0 0 0.174677 0 0 0.180089 0 0 -0.005412 0 0 4.96051e+18 0 -9.3212e+20 6.78696e+19 1.0174e+16 -1e+21 
-0.867566 0.0425109 -1.0763 2.78876e-08 -0.579225 2.18097 1.11881 4.96051e+18 2.34737e+11 108.05 72.7503 0.0020325 0 0 0.174677 0 0 0.179823 0 0 -0.00514609 0 0 4.96051e+18 0 -9.21664e+20 7.83238e+19 1.17411e+16 -1e+21 
-0.849982 0.0425109 -1.0763 3.15671e-08 -0.582258 2.18097 1.11881 4.96051e+18 2.63958e+11 108.05 72.8281 0.00203262 0 0 0.174677 0 0 0.179565 0 0 -0.0048878 0 0 4.96051e+18 0 -9.11913e+20 8.80738e+19 1.32027e+16 -1e+21 
-0.832714 0.0425109 -1.0763 3.51754e-08 -0.584795 2.18097 1.11881 4.96051e+18 2.91182e+11 108.05 72.8851 0.00203272 0 0 0.174677 0 0 0.179314 0 0 -0.00463676 0 0 4.96051e+18 0 -9.02828e+20 9.71577e+19 1.45644e+16 -1e+21 
