# Parameter sweep (iv)
# Simulation    : dd
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vb anode.current cathode.current 
0 0.174677 -0.174677
0.02 0.174677 -0.174677
0.04 0.174676 -0.174676
0.06 0.174675 -0.174675
0.08 0.174675 -0.174675
0.1 0.174674 -0.174674
0.12 0.174673 -0.174673
0.14 0.174672 -0.174672
0.16 0.174672 -0.174672
0.18 0.174671 -0.174671
0.2 0.17467 -0.17467
0.22 0.174669 -0.174669
0.24 0.174668 -0.174668
0.26 0.174667 -0.174667
0.28 0.174666 -0.174666
0.3 0.174665 -0.174665
0.32 0.174664 -0.174664
0.34 0.174663 -0.174663
0.36 0.174661 -0.174661
0.38 0.174659 -0.174659
0.4 0.174654 -0.174654
0.42 0.174646 -0.174646
0.44 0.174629 -0.174629
0.46 0.174593 -0.174593
0.48 0.174515 -0.174515
0.5 0.174343 -0.174343
0.52 0.173976 -0.173976
0.54 0.173209 -0.173209
0.56 0.171609 -0.171609
0.58 0.168239 -0.168239
0.6 0.161101 -0.161101
0.62 0.146167 -0.146167
0.64 0.115779 -0.115779
0.66 0.0561932 -0.0561932
0.68 -0.0568409 0.0568409
0.7 -0.268509 0.268509
0.72 -0.669042 0.669043
0.74 -1.44473 1.44473
0.76 -2.98416 2.98416
0.78 -6.10124 6.10125
0.8 -12.5019 12.502
0.82 -25.7484 25.7484
0.84 -53.2048 53.2049
0.86 -109.815 109.815
0.88 -224.967 224.967
0.9 -453.635 453.636
0.92 -891.039 891.039
0.94 -1684.69 1684.69
0.96 -3031.45 3031.45
0.98 -5150.63 5150.61
1 -8242.86 8242.82
