# Parameter sweep (sweep_coll)
# Simulation    : dd
# Sweep variable: $Vc
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# base.current             A/cm           real
# collector.current        A/cm           real
# emitter.current          A/cm           real
# --------------------------------------------------
#
# $Vc base.current collector.current emitter.current 
0 -0.000706932 0.00067719 2.97417e-05
0.05 -0.000130184 -0.000438921 0.000569105
0.1 -4.28701e-05 -0.000621387 0.000664257
0.15 -2.99758e-05 -0.000679277 0.000709253
0.2 -2.79557e-05 -0.000709371 0.000737327
0.25 -2.76252e-05 -0.000715059 0.000742684
0.3 -2.76703e-05 -0.000688219 0.00071589
0.35 -2.77049e-05 -0.000666651 0.000694356
0.4 -2.76991e-05 -0.000664135 0.000691834
0.45 -2.76777e-05 -0.00066614 0.000693818
0.5 -2.76484e-05 -0.000669002 0.000696651
0.55 -2.76278e-05 -0.000672402 0.00070003
0.6 -2.76189e-05 -0.000678005 0.000705624
0.65 -2.76221e-05 -0.000684446 0.000712068
0.7 -2.76225e-05 -0.000689104 0.000716726
0.75 -2.76201e-05 -0.000691636 0.000719257
0.8 -2.76155e-05 -0.000692222 0.000719837
0.85 -2.7608e-05 -0.000691825 0.000719433
0.9 -2.75913e-05 -0.000691461 0.000719052
0.95 -2.75756e-05 -0.00069088 0.000718455
1 -2.75651e-05 -0.000689443 0.000717008
1.05 -2.75585e-05 -0.000687844 0.000715403
1.1 -2.75535e-05 -0.000687478 0.000715031
1.15 -2.7548e-05 -0.000687678 0.000715226
1.2 -2.75417e-05 -0.000688673 0.000716215
1.25 -2.75368e-05 -0.000690068 0.000717605
1.3 -2.75346e-05 -0.000691612 0.000719147
1.35 -2.75336e-05 -0.000693347 0.00072088
1.4 -2.75312e-05 -0.000695213 0.000722744
1.45 -2.75266e-05 -0.000696946 0.000724473
1.5 -2.75211e-05 -0.000698557 0.000726078
1.55 -2.75159e-05 -0.000700054 0.000727569
1.6 -2.751e-05 -0.00070133 0.00072884
1.65 -2.75029e-05 -0.000702333 0.000729836
1.7 -2.74961e-05 -0.000703158 0.000730654
1.75 -2.74905e-05 -0.000703719 0.00073121
1.8 -2.74852e-05 -0.00070375 0.000731235
1.85 -2.74794e-05 -0.000703562 0.000731042
1.9 -2.74728e-05 -0.000703653 0.000731126
1.95 -2.74661e-05 -0.00070392 0.000731386
2 -2.74596e-05 -0.000704121 0.00073158
2.05 -2.74533e-05 -0.000704227 0.00073168
2.1 -2.74478e-05 -0.000704463 0.000731911
2.15 -2.74426e-05 -0.000704992 0.000732434
2.2 -2.74375e-05 -0.000705747 0.000733184
2.25 -2.74321e-05 -0.000706669 0.000734101
2.3 -2.7426e-05 -0.000707691 0.000735117
2.35 -2.74194e-05 -0.000708747 0.000736167
2.4 -2.74139e-05 -0.000709774 0.000737188
2.45 -2.74102e-05 -0.000710772 0.000738183
2.5 -2.7407e-05 -0.000711784 0.000739191
2.55 -2.74036e-05 -0.000712805 0.000740208
2.6 -2.73991e-05 -0.000713802 0.000741201
2.65 -2.73939e-05 -0.000714747 0.000742141
2.7 -2.7388e-05 -0.000715602 0.00074299
2.75 -2.73819e-05 -0.000716474 0.000743856
2.8 -2.73762e-05 -0.000717315 0.000744691
2.85 -2.73706e-05 -0.000718011 0.000745381
2.9 -2.73652e-05 -0.000718613 0.000745978
2.95 -2.73597e-05 -0.000719187 0.000746547
3 -2.73541e-05 -0.000719763 0.000747117
