# Parameter sweep (sweep_V)
# Simulation    : dssc
# Sweep variable: $V
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $V anode.current cathode.current 
0 -0.0139827 0.0139827
0.1 -0.0139827 0.0139827
0.2 -0.0139827 0.0139827
0.3 -0.0139827 0.0139827
0.4 -0.0139828 0.0139828
0.5 -0.0139823 0.0139823
0.6 -0.0139568 0.0139568
0.62 -0.0139263 0.0139263
0.63 -0.0138997 0.0138997
0.64 -0.0138605 0.0138605
0.65 -0.0138028 0.0138028
0.66 -0.0137179 0.0137179
0.67 -0.0135931 0.0135931
0.68 -0.0134097 0.0134097
0.69 -0.0131405 0.0131405
0.7 -0.012746 0.012746
0.71 -0.0121689 0.0121689
0.73 -0.0101047 0.0101047
0.75 -0.00581406 0.00581405
0.77 0.00274103 -0.00274103
0.79 0.0186228 -0.0186228
0.8 0.0303941 -0.0303941
