# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
0 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
1.002 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
2.00401 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
3.00601 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
4.00802 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
5.01002 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
6.01202 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
7.01403 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
8.01603 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
9.01804 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
10.02 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
11.022 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
12.024 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
13.0261 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
14.0281 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
15.0301 0.759499 -0.759499 0 0 0 0 3.12289e-08 0 0 0 0 0 
16.0321 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
17.0341 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
18.0361 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
19.0381 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
20.0401 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
21.0421 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
22.0441 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
23.0461 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
24.0481 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
25.0501 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
26.0521 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
27.0541 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
28.0561 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
29.0581 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
30.0601 0.759499 -0.759499 0 0 0 0 3.05715e-08 0 0 0 0 0 
31.0621 0.759499 -0.759499 0 0 0 0 3.09002e-08 0 0 0 0 0 
