# Parameter sweep (sweep_forward)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A/cm^2         real
# cathode.current          A/cm^2         real
# --------------------------------------------------
#
# $Vg anode.current cathode.current 
0 0 0
0.025 -1.99077e-20 1.99077e-20
0.05 1.22411e-20 -1.22411e-20
0.075 3.10479e-20 -3.10479e-20
0.1 -8.64466e-21 8.64466e-21
0.125 1.33205e-19 -1.33205e-19
0.15 -2.43522e-20 2.43522e-20
0.175 -1.23257e-20 1.23257e-20
0.2 3.11452e-22 -3.11452e-22
0.225 -2.71873e-20 2.71873e-20
0.25 -3.57932e-20 3.57932e-20
0.275 5.71814e-20 -5.71814e-20
0.3 4.14042e-20 -4.14042e-20
0.325 -1.89668e-20 1.89668e-20
0.35 -1.60284e-20 1.60284e-20
0.375 -2.01683e-19 2.01683e-19
0.4 -6.09422e-19 6.09422e-19
0.425 -6.19454e-19 6.19454e-19
0.45 -1.10616e-19 1.10616e-19
0.475 2.43143e-19 -2.43143e-19
0.5 -1.12035e-19 1.12035e-19
0.525 6.75838e-19 -6.75838e-19
0.55 -3.46949e-19 3.46949e-19
0.575 -1.02561e-18 1.02561e-18
0.6 -1.7171e-18 1.7171e-18
0.625 -3.43723e-18 3.43723e-18
0.65 -7.77258e-18 7.77258e-18
0.675 -1.58895e-17 1.58895e-17
0.7 -3.559e-17 3.559e-17
0.725 -9.43532e-17 9.43532e-17
0.75 -2.37737e-16 2.37737e-16
0.775 -6.11624e-16 6.11624e-16
0.8 -1.58728e-15 1.58728e-15
0.825 -4.11753e-15 4.11753e-15
0.85 -1.06922e-14 1.06922e-14
0.875 -2.77219e-14 2.77219e-14
0.9 -7.1828e-14 7.1828e-14
0.925 -1.85807e-13 1.85807e-13
0.95 -4.79836e-13 4.79836e-13
0.975 -1.23688e-12 1.23688e-12
1 -3.18169e-12 3.18169e-12
1.025 -8.16581e-12 8.16581e-12
1.05 -2.0905e-11 2.0905e-11
1.075 -5.33727e-11 5.33727e-11
1.1 -1.35844e-10 1.35844e-10
1.125 -3.44612e-10 3.44612e-10
1.15 -8.7102e-10 8.7102e-10
1.175 -2.19262e-09 2.19262e-09
1.2 -5.49466e-09 5.49466e-09
1.225 -1.36972e-08 1.36972e-08
1.25 -3.39375e-08 3.39375e-08
1.275 -8.34403e-08 8.34403e-08
1.3 -2.03045e-07 2.03045e-07
1.325 -4.86674e-07 4.86674e-07
1.35 -1.13867e-06 1.13867e-06
1.375 -2.56211e-06 2.56211e-06
1.4 -5.48764e-06 5.48764e-06
1.425 -1.09903e-05 1.09903e-05
1.45 -1.93502e-05 1.93502e-05
1.475 -2.82607e-05 2.82607e-05
1.5 -3.96239e-05 3.96239e-05
1.525 -5.32445e-05 5.32445e-05
1.55 -6.87052e-05 6.87052e-05
1.575 -8.54548e-05 8.54548e-05
1.6 -0.000103114 0.000103114
1.625 -0.00012139 0.00012139
1.65 -0.000140075 0.000140075
1.675 -0.000159022 0.000159022
1.7 -0.000178135 0.000178135
1.725 -0.000197347 0.000197347
1.75 -0.000216613 0.000216613
1.775 -0.000235905 0.000235905
1.8 -0.000255199 0.000255199
1.825 -0.000274483 0.000274483
1.85 -0.000293745 0.000293745
1.875 -0.00031298 0.00031298
1.9 -0.000332183 0.000332183
1.925 -0.00035135 0.00035135
1.95 -0.00037048 0.00037048
1.975 -0.000389573 0.000389573
2 -0.000408628 0.000408628
2.025 -0.000427645 0.000427645
2.05 -0.000446627 0.000446627
2.075 -0.000465573 0.000465573
2.1 -0.000484486 0.000484486
2.125 -0.000503366 0.000503366
2.15 -0.000522216 0.000522216
2.175 -0.000541037 0.000541037
2.2 -0.000559831 0.000559831
2.225 -0.0005786 0.0005786
2.25 -0.000597346 0.000597346
2.275 -0.000616071 0.000616071
2.3 -0.000634776 0.000634776
2.325 -0.000653464 0.000653464
2.35 -0.000672136 0.000672136
2.375 -0.000690795 0.000690795
2.4 -0.000709443 0.000709443
2.425 -0.000728081 0.000728081
