# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z NetRecombination SRHRecombination 
-1000 -0.185757 -1.30457 -1.2 -1.2 2.40924 250.562 9.15656e+17 1417 470.5 2.70502 0 0 1.49725e-13 0 0 186.712 0 0 1.55199e+07 1.55199e+07 
-990.043 -0.183064 -1.30188 -1.19738 -1.19731 2.40655 249.893 9.15656e+17 1417 470.5 2.70502 0 0 1.50424e-13 0 0 186.712 0 0 8.76266e+06 8.76266e+06 
-980.185 -0.180397 -1.29921 -1.19475 -1.19464 2.40388 249.518 9.15656e+17 1417 470.5 2.70502 0 0 1.51509e-13 0 0 186.712 0 0 4.97583e+06 4.97583e+06 
-970.425 -0.177757 -1.29657 -1.19213 -1.192 2.40124 249.307 9.15656e+17 1417 470.5 2.70502 0 0 1.5212e-13 0 0 186.712 0 0 2.84233e+06 2.84233e+06 
-960.761 -0.175143 -1.29396 -1.18953 -1.18939 2.39863 249.187 9.15656e+17 1417 470.5 2.70502 0 0 1.52467e-13 0 0 186.712 0 0 1.63442e+06 1.63442e+06 
-951.193 -0.172555 -1.29137 -1.18695 -1.1868 2.39604 249.119 9.15656e+17 1417 470.5 2.70502 0 0 1.52665e-13 0 0 186.712 0 0 947895 947895 
-941.721 -0.169992 -1.2888 -1.18439 -1.18424 2.39347 249.081 9.15656e+17 1417 470.5 2.70502 0 0 1.52779e-13 0 0 186.712 0 0 557259 557259 
-932.342 -0.167455 -1.28627 -1.18185 -1.1817 2.39094 249.059 9.15656e+17 1417 470.5 2.70502 0 0 1.52846e-13 0 0 186.712 0 0 336332 336332 
-923.056 -0.164944 -1.28376 -1.17934 -1.17919 2.38843 249.047 9.15656e+17 1417 470.5 2.70502 0 0 1.52887e-13 0 0 186.712 0 0 214602 214602 
-913.862 -0.162457 -1.28127 -1.17686 -1.1767 2.38594 249.041 9.15656e+17 1417 470.5 2.70502 0 0 1.52914e-13 0 0 186.712 0 0 153154 153154 
