# ASCII 1D datafile generated by TiberCAD
# x LatticeTemp ThermalFlux_x ThermalFlux_y ThermalFlux_z HeatSource ThermCond_x ThermCond_y ThermCond_z 
-1000 300 -120.496 0 0 505.061 1.5 1.5 1.5 
-990.043 300.08 -120.246 0 0 505.061 1.5 1.5 1.5 
-980.185 300.159 -119.748 0 0 505.061 1.5 1.5 1.5 
-970.425 300.237 -119.255 0 0 505.061 1.5 1.5 1.5 
-960.761 300.313 -118.767 0 0 505.061 1.5 1.5 1.5 
-951.193 300.389 -118.283 0 0 505.061 1.5 1.5 1.5 
-941.721 300.463 -117.805 0 0 505.061 1.5 1.5 1.5 
-932.342 300.537 -117.331 0 0 505.061 1.5 1.5 1.5 
-923.056 300.609 -116.862 0 0 505.061 1.5 1.5 1.5 
-913.862 300.681 -116.398 0 0 505.061 1.5 1.5 1.5 
-904.759 300.751 -115.938 0 0 505.061 1.5 1.5 1.5 
-895.747 300.821 -115.483 0 0 505.061 1.5 1.5 1.5 
-886.824 300.889 -115.032 0 0 505.061 1.5 1.5 1.5 
-877.989 300.957 -114.586 0 0 505.061 1.5 1.5 1.5 
-869.243 301.024 -114.144 0 0 505.061 1.5 1.5 1.5 
-860.582 301.09 -113.707 0 0 505.061 1.5 1.5 1.5 
-852.008 301.154 -113.274 0 0 505.061 1.5 1.5 1.5 
-843.519 301.218 -112.845 0 0 505.061 1.5 1.5 1.5 
-835.114 301.282 -112.421 0 0 505.061 1.5 1.5 1.5 
-826.792 301.344 -112 0 0 505.061 1.5 1.5 1.5 
-818.553 301.405 -111.584 0 0 505.061 1.5 1.5 1.5 
-810.396 301.466 -111.172 0 0 505.061 1.5 1.5 1.5 
-802.319 301.526 -110.764 0 0 505.061 1.5 1.5 1.5 
-794.323 301.584 -110.36 0 0 505.061 1.5 1.5 1.5 
-786.406 301.643 -109.961 0 0 505.061 1.5 1.5 1.5 
-778.567 301.7 -109.565 0 0 505.061 1.5 1.5 1.5 
-770.806 301.757 -109.173 0 0 505.061 1.5 1.5 1.5 
-763.122 301.812 -108.785 0 0 505.061 1.5 1.5 1.5 
-755.514 301.867 -108.4 0 0 505.061 1.5 1.5 1.5 
-747.982 301.922 -108.02 0 0 505.061 1.5 1.5 1.5 
-740.524 301.975 -107.643 0 0 505.061 1.5 1.5 1.5 
-733.141 302.028 -107.27 0 0 505.061 1.5 1.5 1.5 
-725.83 302.08 -106.901 0 0 505.061 1.5 1.5 1.5 
-718.592 302.132 -106.535 0 0 505.061 1.5 1.5 1.5 
-711.426 302.183 -106.174 0 0 505.061 1.5 1.5 1.5 
-704.331 302.233 -105.815 0 0 505.061 1.5 1.5 1.5 
-697.307 302.282 -105.46 0 0 505.061 1.5 1.5 1.5 
-690.352 302.331 -105.109 0 0 505.061 1.5 1.5 1.5 
-683.465 302.379 -104.761 0 0 505.061 1.5 1.5 1.5 
-676.648 302.427 -104.417 0 0 505.061 1.5 1.5 1.5 
-669.898 302.474 -104.076 0 0 505.061 1.5 1.5 1.5 
-663.214 302.52 -103.738 0 0 505.061 1.5 1.5 1.5 
-656.597 302.566 -103.404 0 0 505.061 1.5 1.5 1.5 
-650.046 302.611 -103.073 0 0 505.061 1.5 1.5 1.5 
-643.56 302.655 -102.746 0 0 505.061 1.5 1.5 1.5 
-637.138 302.699 -102.421 0 0 505.061 1.5 1.5 1.5 
-630.779 302.743 -102.1 0 0 505.061 1.5 1.5 1.5 
-624.484 302.785 -101.782 0 0 505.061 1.5 1.5 1.5 
-618.251 302.828 -101.467 0 0 505.061 1.5 1.5 1.5 
-612.08 302.869 -101.156 0 0 505.061 1.5 1.5 1.5 
-605.97 302.91 -100.847 0 0 505.061 1.5 1.5 1.5 
-599.921 302.951 -100.542 0 0 505.061 1.5 1.5 1.5 
-593.932 302.991 -100.239 0 0 505.061 1.5 1.5 1.5 
-588.002 303.031 -99.9397 0 0 505.061 1.5 1.5 1.5 
-582.131 303.07 -99.6431 0 0 505.061 1.5 1.5 1.5 
-576.318 303.108 -99.3495 0 0 505.061 1.5 1.5 1.5 
-570.563 303.146 -99.0589 0 0 505.061 1.5 1.5 1.5 
-564.865 303.184 -98.7711 0 0 505.061 1.5 1.5 1.5 
-559.223 303.221 -98.4861 0 0 505.061 1.5 1.5 1.5 
-553.637 303.258 -98.204 0 0 505.061 1.5 1.5 1.5 
-548.107 303.294 -97.9247 0 0 505.061 1.5 1.5 1.5 
-542.632 303.33 -97.6481 0 0 505.061 1.5 1.5 1.5 
-537.211 303.365 -97.3743 0 0 505.061 1.5 1.5 1.5 
-531.843 303.4 -97.1032 0 0 505.061 1.5 1.5 1.5 
-526.529 303.434 -96.8348 0 0 505.061 1.5 1.5 1.5 
-521.268 303.468 -96.5691 0 0 505.061 1.5 1.5 1.5 
-516.058 303.501 -96.306 0 0 505.061 1.5 1.5 1.5 
-510.901 303.534 -96.0455 0 0 505.061 1.5 1.5 1.5 
-505.794 303.567 -95.7876 0 0 505.061 1.5 1.5 1.5 
-500.739 303.599 -95.5322 0 0 505.061 1.5 1.5 1.5 
-495.733 303.631 -95.2794 0 0 505.061 1.5 1.5 1.5 
-490.777 303.663 -95.0291 0 0 505.061 1.5 1.5 1.5 
-485.87 303.694 -94.7813 0 0 505.061 1.5 1.5 1.5 
-481.012 303.724 -94.5359 0 0 505.061 1.5 1.5 1.5 
-476.202 303.755 -94.2929 0 0 505.061 1.5 1.5 1.5 
-471.439 303.784 -94.0524 0 0 505.061 1.5 1.5 1.5 
-466.724 303.814 -93.8143 0 0 505.061 1.5 1.5 1.5 
-462.056 303.843 -93.5785 0 0 505.061 1.5 1.5 1.5 
-457.434 303.872 -93.345 0 0 505.061 1.5 1.5 1.5 
-452.858 303.9 -93.1139 0 0 505.061 1.5 1.5 1.5 
-448.327 303.928 -92.8851 0 0 505.061 1.5 1.5 1.5 
-443.841 303.956 -92.6585 0 0 505.061 1.5 1.5 1.5 
-439.399 303.984 -92.4342 0 0 505.061 1.5 1.5 1.5 
-435.002 304.011 -92.2121 0 0 505.061 1.5 1.5 1.5 
-430.648 304.037 -91.9922 0 0 505.061 1.5 1.5 1.5 
-426.338 304.064 -91.7745 0 0 505.061 1.5 1.5 1.5 
-422.07 304.09 -91.5589 0 0 505.061 1.5 1.5 1.5 
-417.844 304.116 -91.3455 0 0 505.061 1.5 1.5 1.5 
-413.661 304.141 -91.1342 0 0 505.061 1.5 1.5 1.5 
-409.519 304.166 -90.925 0 0 505.061 1.5 1.5 1.5 
-405.418 304.191 -90.7178 0 0 505.061 1.5 1.5 1.5 
-401.357 304.216 -90.5128 0 0 505.061 1.5 1.5 1.5 
-397.337 304.24 -90.3097 0 0 505.061 1.5 1.5 1.5 
-393.357 304.264 -90.1087 0 0 505.061 1.5 1.5 1.5 
-389.416 304.287 -89.9096 0 0 505.061 1.5 1.5 1.5 
-385.515 304.311 -89.7126 0 0 505.061 1.5 1.5 1.5 
-381.652 304.334 -89.5175 0 0 505.061 1.5 1.5 1.5 
-377.827 304.357 -89.3243 0 0 505.061 1.5 1.5 1.5 
-374.04 304.379 -89.133 0 0 505.061 1.5 1.5 1.5 
-370.291 304.401 -88.9437 0 0 505.061 1.5 1.5 1.5 
-366.579 304.423 -88.7562 0 0 505.061 1.5 1.5 1.5 
-362.904 304.445 -88.5706 0 0 505.061 1.5 1.5 1.5 
-359.265 304.467 -88.3868 0 0 505.061 1.5 1.5 1.5 
-355.662 304.488 -88.2048 0 0 505.061 1.5 1.5 1.5 
-352.095 304.509 -88.0247 0 0 505.062 1.5 1.5 1.5 
-348.564 304.53 -87.8463 0 0 505.062 1.5 1.5 1.5 
-345.067 304.55 -87.6697 0 0 505.062 1.5 1.5 1.5 
-341.605 304.57 -87.4948 0 0 505.062 1.5 1.5 1.5 
-338.178 304.59 -87.3217 0 0 505.063 1.5 1.5 1.5 
-334.784 304.61 -87.1503 0 0 505.063 1.5 1.5 1.5 
-331.424 304.629 -86.9806 0 0 505.063 1.5 1.5 1.5 
-328.098 304.649 -86.8126 0 0 505.064 1.5 1.5 1.5 
-324.804 304.668 -86.6463 0 0 505.064 1.5 1.5 1.5 
-321.543 304.687 -86.4816 0 0 505.065 1.5 1.5 1.5 
-318.315 304.705 -86.3185 0 0 505.066 1.5 1.5 1.5 
-315.118 304.723 -86.157 0 0 505.067 1.5 1.5 1.5 
-311.953 304.742 -85.9972 0 0 505.068 1.5 1.5 1.5 
-308.82 304.76 -85.8389 0 0 505.069 1.5 1.5 1.5 
-305.717 304.777 -85.6822 0 0 505.071 1.5 1.5 1.5 
-302.646 304.795 -85.5271 0 0 505.072 1.5 1.5 1.5 
-299.605 304.812 -85.3735 0 0 505.074 1.5 1.5 1.5 
-296.594 304.829 -85.2214 0 0 505.076 1.5 1.5 1.5 
-293.612 304.846 -85.0708 0 0 505.079 1.5 1.5 1.5 
-290.661 304.863 -84.9217 0 0 505.082 1.5 1.5 1.5 
-287.739 304.879 -84.7741 0 0 505.085 1.5 1.5 1.5 
-284.845 304.896 -84.628 0 0 505.089 1.5 1.5 1.5 
-281.98 304.912 -84.4833 0 0 505.094 1.5 1.5 1.5 
-279.144 304.928 -84.34 0 0 505.099 1.5 1.5 1.5 
-276.336 304.944 -84.1982 0 0 505.104 1.5 1.5 1.5 
-273.556 304.959 -84.0577 0 0 505.111 1.5 1.5 1.5 
-270.803 304.975 -83.9187 0 0 505.118 1.5 1.5 1.5 
-268.078 304.99 -83.781 0 0 505.127 1.5 1.5 1.5 
-265.379 305.005 -83.6447 0 0 505.136 1.5 1.5 1.5 
-262.708 305.02 -83.5098 0 0 505.147 1.5 1.5 1.5 
-260.063 305.035 -83.3761 0 0 505.159 1.5 1.5 1.5 
-257.444 305.049 -83.2438 0 0 505.173 1.5 1.5 1.5 
-254.851 305.064 -83.1129 0 0 505.188 1.5 1.5 1.5 
-252.284 305.078 -82.9832 0 0 505.206 1.5 1.5 1.5 
-249.742 305.092 -82.8547 0 0 505.225 1.5 1.5 1.5 
-247.226 305.106 -82.7276 0 0 505.247 1.5 1.5 1.5 
-244.734 305.119 -82.6017 0 0 505.272 1.5 1.5 1.5 
-242.267 305.133 -82.4771 0 0 505.299 1.5 1.5 1.5 
-239.825 305.146 -82.3536 0 0 505.33 1.5 1.5 1.5 
-237.406 305.16 -82.2314 0 0 505.365 1.5 1.5 1.5 
-235.012 305.173 -82.1104 0 0 505.403 1.5 1.5 1.5 
-232.642 305.186 -81.9906 0 0 505.446 1.5 1.5 1.5 
-230.295 305.199 -81.872 0 0 505.493 1.5 1.5 1.5 
