# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 2.61204 0.0120381 0 0 -5.18204 6.46341e-15 1.05365e+20 0.01 0.01 8.01088e-23 0.168814 -3.81675e+06 0 0 0 0 0 0 0 0 0 7.46271e+14 0 0 0 0 0 0 
0.0979066 2.57467 -0.0253304 0 0 -5.14467 2.74266e-14 8.87392e+19 0.01 0.01 8.01088e-23 0.142176 -3.58556e+06 0 0 0 0 0 0 0 0 0 2.35326e+15 0 0 0 0 0 0 
0.214985 2.53593 -0.0640727 0 0 -5.10593 1.2273e-13 7.20203e+19 0.01 0.01 8.01088e-23 0.115389 -3.08474e+06 0 0 0 0 0 0 0 0 0 4.85705e+15 0 0 0 0 0 0 
0.354988 2.4965 -0.103504 0 0 -5.0665 5.64004e-13 5.62845e+19 0.01 0.01 8.01088e-23 0.0901778 -2.60677e+06 0 0 0 0 0 0 0 0 0 6.38692e+15 0 0 0 0 0 0 
0.522406 2.45705 -0.142948 0 0 -5.02705 2.59312e-12 4.24216e+19 0.01 0.01 8.01088e-23 0.0679669 -2.16709e+06 0 0 0 0 0 0 0 0 0 6.85688e+15 0 0 0 0 0 0 
0.722606 2.41819 -0.18181 0 0 -4.98819 1.1656e-11 3.0945e+19 0.01 0.01 8.01088e-23 0.0495794 -1.77631e+06 0 0 0 0 0 0 0 0 0 6.96765e+15 0 0 0 0 0 0 
0.962009 2.38038 -0.219616 0 0 -4.95038 5.02964e-11 2.19549e+19 0.01 0.01 8.01088e-23 0.0351756 -1.43939e+06 0 0 0 0 0 0 0 0 0 6.99248e+15 0 0 0 0 0 0 
1.24829 2.34396 -0.256037 0 0 -4.91396 2.05689e-10 1.52336e+19 0.01 0.01 8.01088e-23 0.0244069 -1.15619e+06 0 0 0 0 0 0 0 0 0 6.99816e+15 0 0 0 0 0 0 
1.59063 2.30913 -0.290869 0 0 -4.87913 7.91019e-10 1.03938e+19 0.01 0.01 8.01088e-23 0.0166527 -922860 0 0 0 0 0 0 0 0 0 6.99952e+15 0 0 0 0 0 0 
2 2.27598 -0.324016 0 0 -4.84598 2.84992e-09 7.00854e+18 0.01 0.01 8.01088e-23 0.0112289 -809710 0 0 0 0 0 0 0 0 0 6.99987e+15 0 0 0 0 0 0 
2 2.27598 -0.324016 0 0 -4.84598 2.84992e-09 7.00854e+18 0.01 0.01 8.01088e-23 0.0112289 -640281 0 0 0 0 0 0 0 0 0 6.99987e+15 0 0 0 0 0 0 
2.5 2.24397 -0.35603 0 0 -4.81397 9.8268e-09 4.65549e+18 0.01 0.01 8.01088e-23 0.00745892 -578431 0 0 0 0 0 0 0 0 0 6.99996e+15 0 0 0 0 0 0 
3 2.21814 -0.381859 0 0 -4.78814 2.66751e-08 3.27839e+18 0.01 0.01 8.01089e-23 0.00525255 -473056 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 0 0 0 0 
3.5 2.19666 -0.403336 0 0 -4.76666 6.11916e-08 2.41471e+18 0.01 0.01 8.01089e-23 0.00386879 -397494 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 0 0 0 0 
4 2.17839 -0.421609 0 0 -4.74839 1.24015e-07 1.84266e+18 0.01 0.01 8.0109e-23 0.00295227 -341035 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
4.5 2.16256 -0.437439 0 0 -4.73256 2.28684e-07 1.44679e+18 0.01 0.01 8.01092e-23 0.00231802 -297454 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
5 2.14865 -0.451354 0 0 -4.71865 3.91586e-07 1.16286e+18 0.01 0.01 8.01095e-23 0.00186311 -262918 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
5.5 2.13627 -0.463731 0 0 -4.70627 6.31815e-07 9.5306e+17 0.01 0.01 8.01098e-23 0.00152697 -234952 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
6 2.12515 -0.474849 0 0 -4.69515 9.7099e-07 7.94108e+17 0.01 0.01 8.01104e-23 0.0012723 -211892 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
6.5 2.11508 -0.48492 0 0 -4.68508 1.43302e-06 6.7108e+17 0.01 0.01 8.01111e-23 0.00107519 -192583 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
7 2.10589 -0.494108 0 0 -4.67589 2.04388e-06 5.74089e+17 0.01 0.01 8.01121e-23 0.000919791 -176202 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
7.5 2.09746 -0.502541 0 0 -4.66746 2.8313e-06 4.96389e+17 0.01 0.01 8.01134e-23 0.000795303 -162145 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
8 2.08968 -0.510322 0 0 -4.65968 3.82458e-06 4.33264e+17 0.01 0.01 8.0115e-23 0.000694165 -149962 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
8.5 2.08246 -0.517537 0 0 -4.65246 5.05428e-06 3.81337e+17 0.01 0.01 8.01169e-23 0.000610968 -139310 0 0 0 0 0 0 0 0 0 7e+15 0 0 0 0 0 0 
