# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility eConductivity hConductivity ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z IonizedDonors IonizedAcceptors IonizedElectronTraps IonizedHoleTraps eNetRecombination eLangevinRecombination hNetRecombination hLangevinRecombination 
0 2.21 -0.39 0 0 -4.78 3.65416e-08 2.92405e+18 0.01 0.01 8.01089e-23 0.00468485 -379287 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 1137.33 1137.33 1137.33 1137.33 
0.0979066 2.20629 -0.393713 0 0 -4.77629 4.21829e-08 2.77369e+18 0.01 0.01 8.01089e-23 0.00444393 -372084 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 1245.39 1245.39 1245.39 1245.39 
0.214985 2.20203 -0.397969 0 0 -4.77203 4.9726e-08 2.60962e+18 0.01 0.01 8.01089e-23 0.00418107 -355389 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 1381.25 1381.25 1381.25 1381.25 
0.354988 2.19719 -0.402809 0 0 -4.76719 5.99583e-08 2.43326e+18 0.01 0.01 8.01089e-23 0.00389852 -336764 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 1552.93 1552.93 1552.93 1552.93 
0.522406 2.19173 -0.408268 0 0 -4.76173 7.4045e-08 2.24686e+18 0.01 0.01 8.01089e-23 0.00359986 -316253 0 0 0 0 0 0 0 0 0 6.99999e+15 0 0 1770.86 1770.86 1770.86 1770.86 
0.722606 2.18564 -0.414365 0 0 -4.75564 9.37251e-08 2.05345e+18 0.01 0.01 8.0109e-23 0.00328999 -294003 0 0 0 0 0 0 0 0 0 7e+15 0 0 2048.58 2048.58 2048.58 2048.58 
0.962009 2.1789 -0.421102 0 0 -4.7489 1.21607e-07 1.85678e+18 0.01 0.01 8.0109e-23 0.00297488 -270287 0 0 0 0 0 0 0 0 0 7e+15 0 0 2403.43 2403.43 2403.43 2403.43 
1.24829 2.17154 -0.428459 0 0 -4.74154 1.61612e-07 1.66101e+18 0.01 0.01 8.01091e-23 0.00266123 -245519 0 0 0 0 0 0 0 0 0 7e+15 0 0 2857.32 2857.32 2857.32 2857.32 
1.59063 2.16361 -0.436394 0 0 -4.73361 2.19629e-07 1.4704e+18 0.01 0.01 8.01092e-23 0.00235585 -220252 0 0 0 0 0 0 0 0 0 7e+15 0 0 3437.48 3437.48 3437.48 3437.48 
2 2.15515 -0.444845 0 0 -4.72515 3.04484e-07 1.28886e+18 0.01 0.01 8.01093e-23 0.00206498 -206444 0 0 0 0 0 0 0 0 0 7e+15 0 0 4177.18 4177.18 4177.18 4177.18 
2 2.15515 -0.444845 0 0 -4.72515 3.04484e-07 1.28886e+18 0.01 0.01 8.01093e-23 0.00206498 -181361 0 0 0 0 0 0 0 0 0 7e+15 0 0 4177.18 4177.18 4177.18 4177.18 
2.5 2.14609 -0.453913 0 0 -4.71609 4.32303e-07 1.11639e+18 0.01 0.01 8.01095e-23 0.00178865 -170489 0 0 0 0 0 0 0 0 0 7e+15 0 0 5137.08 5137.08 5137.08 5137.08 
