# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
-1.04395e-31 -0.0091644 -3.44677 2.73644 -0.016412 0 0 0.024583 1.14784e-17 -0.0153843 
0.498322 -0.0091644 -3.44677 2.73644 -0.0146242 0 0 0.024583 1.14784e-17 -0.0153843 
0.995155 -0.0091644 -3.44677 2.73644 -0.0114466 0 0 0.024583 1.14784e-17 -0.0153843 
1.4905 -0.0091644 -3.44677 2.73644 -0.00896601 0 0 0.024583 1.14784e-17 -0.0153843 
1.98437 -0.0091644 -3.44677 2.73644 -0.00702808 0 0 0.024583 1.14784e-17 -0.0153843 
2.47676 -0.0091644 -3.44677 2.73644 -0.00551301 0 0 0.024583 1.14784e-17 -0.0153843 
2.96767 -0.0091644 -3.44677 2.73644 -0.00432767 0 0 0.024583 1.14784e-17 -0.0153843 
3.45712 -0.0091644 -3.44677 2.73644 -0.00339965 0 0 0.024583 1.14784e-17 -0.0153843 
3.94511 -0.00916441 -3.44677 2.73644 -0.00267255 0 0 0.024583 1.14784e-17 -0.0153843 
4.43164 -0.00916441 -3.44677 2.73644 -0.00210246 0 0 0.024583 1.14784e-17 -0.0153843 
4.91671 -0.00916441 -3.44677 2.73644 -0.00165516 0 0 0.024583 1.14784e-17 -0.0153843 
5.40033 -0.00916441 -3.44677 2.73644 -0.00130395 0 0 0.024583 1.14784e-17 -0.0153843 
5.88251 -0.00916441 -3.44677 2.73644 -0.001028 0 0 0.024583 1.14784e-17 -0.0153843 
6.36324 -0.00916441 -3.44677 2.73644 -0.000811024 0 0 0.024583 1.14784e-17 -0.0153843 
6.84254 -0.00916441 -3.44677 2.73644 -0.000640292 0 0 0.024583 1.14784e-17 -0.0153843 
7.3204 -0.00916441 -3.44677 2.73644 -0.000505857 0 0 0.024583 1.14784e-17 -0.0153843 
7.79684 -0.00916441 -3.44677 2.73644 -0.000399929 0 0 0.024583 1.14784e-17 -0.0153843 
8.27185 -0.00916441 -3.44677 2.73644 -0.000316403 0 0 0.024583 1.14784e-17 -0.0153843 
8.74544 -0.00916441 -3.44677 2.73644 -0.000250488 0 0 0.024583 1.14784e-17 -0.0153843 
9.21761 -0.00916441 -3.44677 2.73644 -0.000198446 0 0 0.024583 1.14784e-17 -0.0153843 
9.68837 -0.00916441 -3.44677 2.73644 -0.00015733 0 0 0.024583 1.14784e-17 -0.0153843 
10.1577 -0.00916441 -3.44677 2.73644 -0.000124816 0 0 0.024583 1.14784e-17 -0.0153843 
10.6257 -0.00916441 -3.44677 2.73644 -9.90937e-05 0 0 0.024583 1.14784e-17 -0.0153843 
11.0922 -0.00916441 -3.44677 2.73644 -7.87204e-05 0 0 0.024583 1.14784e-17 -0.0153843 
11.5574 -0.00916441 -3.44677 2.73644 -6.25745e-05 0 0 0.024583 1.14784e-17 -0.0153843 
12.0212 -0.00916441 -3.44677 2.73644 -4.97811e-05 0 0 0.024583 1.14784e-17 -0.0153843 
12.4835 -0.00916441 -3.44677 2.73644 -3.96314e-05 0 0 0.024583 1.14784e-17 -0.0153843 
12.9445 -0.00916441 -3.44677 2.73644 -3.15708e-05 0 0 0.024583 1.14784e-17 -0.0153843 
13.4042 -0.00916441 -3.44677 2.73644 -2.51679e-05 0 0 0.024583 1.14784e-17 -0.0153843 
13.8624 -0.00916441 -3.44677 2.73644 -2.00776e-05 0 0 0.024583 1.14784e-17 -0.0153843 
14.3193 -0.00916441 -3.44677 2.73644 -1.60288e-05 0 0 0.024583 1.14784e-17 -0.0153843 
14.7748 -0.00916441 -3.44677 2.73644 -1.28058e-05 0 0 0.024583 1.14784e-17 -0.0153843 
15.2289 -0.00916441 -3.44677 2.73644 -1.0236e-05 0 0 0.024583 1.14784e-17 -0.0153843 
15.6817 -0.00916441 -3.44677 2.73644 -8.1839e-06 0 0 0.024583 1.14784e-17 -0.0153843 
16.1332 -0.00916441 -3.44677 2.73644 -6.54466e-06 0 0 0.024583 1.14784e-17 -0.0153843 
16.5832 -0.00916441 -3.44677 2.73644 -5.2382e-06 0 0 0.024583 1.14784e-17 -0.0153843 
17.032 -0.00916441 -3.44677 2.73644 -4.19055e-06 0 0 0.024583 1.14784e-17 -0.0153843 
17.4794 -0.00916441 -3.44677 2.73644 -3.36479e-06 0 0 0.024583 1.14784e-17 -0.0153843 
17.9254 -0.00916441 -3.44677 2.73644 -2.71154e-06 0 0 0.024583 1.14784e-17 -0.0153843 
18.3702 -0.00916441 -3.44677 2.73644 -2.18157e-06 0 0 0.024583 1.14784e-17 -0.0153843 
18.8136 -0.00916441 -3.44677 2.73644 -1.75634e-06 0 0 0.024583 1.14784e-17 -0.0153843 
19.2556 -0.00916441 -3.44677 2.73644 -1.41123e-06 0 0 0.024583 1.14784e-17 -0.0153843 
19.6964 -0.00916441 -3.44677 2.73644 -1.13392e-06 0 0 0.024583 1.14784e-17 -0.0153843 
20.1358 -0.00916441 -3.44677 2.73644 -9.12066e-07 0 0 0.024583 1.14784e-17 -0.0153843 
20.5739 -0.00916441 -3.44677 2.73644 -7.33349e-07 0 0 0.024583 1.14784e-17 -0.0153843 
21.0107 -0.00916441 -3.44677 2.73644 -5.85441e-07 0 0 0.024583 1.14784e-17 -0.0153843 
21.4462 -0.00916441 -3.44677 2.73644 -4.74533e-07 0 0 0.024583 1.14784e-17 -0.0153843 
21.8804 -0.00916441 -3.44677 2.73644 -3.94415e-07 0 0 0.024583 1.14784e-17 -0.0153843 
22.3133 -0.00916441 -3.44677 2.73644 -3.20452e-07 0 0 0.024583 1.14784e-17 -0.0153843 
22.745 -0.00916441 -3.44677 2.73644 -2.52662e-07 0 0 0.024583 1.14784e-17 -0.0153843 
23.1753 -0.00916441 -3.44677 2.73644 -1.97198e-07 0 0 0.024583 1.14784e-17 -0.0153843 
23.6043 -0.00916441 -3.44677 2.73644 -1.60235e-07 0 0 0.024583 1.14784e-17 -0.0153843 
24.032 -0.00916441 -3.44677 2.73644 -1.29408e-07 0 0 0.024583 1.14784e-17 -0.0153843 
24.4585 -0.00916441 -3.44677 2.73644 -9.85992e-08 0 0 0.024583 1.14784e-17 -0.0153843 
24.8837 -0.00916441 -3.44677 2.73644 -8.01176e-08 0 0 0.024583 1.14784e-17 -0.0153843 
25.3076 -0.00916441 -3.44677 2.73644 -6.16176e-08 0 0 0.024583 1.14784e-17 -0.0153843 
25.7303 -0.00916441 -3.44677 2.73644 -4.93088e-08 0 0 0.024583 1.14784e-17 -0.0153843 
26.1517 -0.00916441 -3.44677 2.73644 -4.3136e-08 0 0 0.024583 1.14784e-17 -0.0153843 
26.5718 -0.00916441 -3.44677 2.73644 -3.69816e-08 0 0 0.024583 1.14784e-17 -0.0153843 
26.9907 -0.00916441 -3.44677 2.73644 -3.69816e-08 0 0 0.024583 1.14784e-17 -0.0153843 
27.4083 -0.00916441 -3.44677 2.73644 -3.08088e-08 0 0 0.024583 1.14784e-17 -0.0153843 
27.8247 -0.00916441 -3.44677 2.73644 -1.84816e-08 0 0 0.024583 1.14784e-17 -0.0153843 
28.2398 -0.00916441 -3.44677 2.73644 -6.15438e-09 0 0 0.024583 1.14784e-17 -0.0153843 
28.6537 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
29.0663 -0.00916441 -3.44677 2.73644 -1.23457e-08 0 0 0.024583 1.14784e-17 -0.0153843 
29.4778 -0.00916441 -3.44677 2.73644 -1.84816e-08 0 0 0.024583 1.14784e-17 -0.0153843 
29.8879 -0.00916441 -3.44677 2.73644 -1.23272e-08 0 0 0.024583 1.14784e-17 -0.0153843 
30.2969 -0.00916441 -3.44677 2.73644 -6.15437e-09 0 0 0.024583 1.14784e-17 -0.0153843 
30.7046 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
31.1112 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
31.5165 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
31.9205 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
32.3234 -0.00916441 -3.44677 2.73644 0 0 0 0.024583 1.14784e-17 -0.0153843 
