# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 ElPotential
# 5 ElField_x
# 6 ElField_y
# 7 ElField_z
# 8 Polarization_x
# 9 Polarization_y
# 10 Polarization_z
# x Ec Ev ElPotential ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z 
-1.32064e-30 -0.0091644 -3.44677 2.73644 -0.016412 0 0 -0.0151927 2.08532e-17 0.0247019 
0.498322 -0.0091644 -3.44677 2.73644 -0.0146242 0 0 -0.0151927 2.08532e-17 0.0247019 
0.995155 -0.0091644 -3.44677 2.73644 -0.0114466 0 0 -0.0151927 2.08532e-17 0.0247019 
1.4905 -0.0091644 -3.44677 2.73644 -0.00896601 0 0 -0.0151927 2.08532e-17 0.0247019 
1.98437 -0.0091644 -3.44677 2.73644 -0.00702809 0 0 -0.0151927 2.08532e-17 0.0247019 
2.47676 -0.0091644 -3.44677 2.73644 -0.00551302 0 0 -0.0151927 2.08532e-17 0.0247019 
2.96767 -0.0091644 -3.44677 2.73644 -0.00432768 0 0 -0.0151927 2.08532e-17 0.0247019 
3.45712 -0.0091644 -3.44677 2.73644 -0.00339965 0 0 -0.0151927 2.08532e-17 0.0247019 
3.94511 -0.00916441 -3.44677 2.73644 -0.00267254 0 0 -0.0151927 2.08532e-17 0.0247019 
4.43164 -0.00916441 -3.44677 2.73644 -0.00210246 0 0 -0.0151927 2.08532e-17 0.0247019 
4.91671 -0.00916441 -3.44677 2.73644 -0.00165516 0 0 -0.0151927 2.08532e-17 0.0247019 
5.40033 -0.00916441 -3.44677 2.73644 -0.00130395 0 0 -0.0151927 2.08532e-17 0.0247019 
5.88251 -0.00916441 -3.44677 2.73644 -0.001028 0 0 -0.0151927 2.08532e-17 0.0247019 
6.36324 -0.00916441 -3.44677 2.73644 -0.000811018 0 0 -0.0151927 2.08532e-17 0.0247019 
6.84254 -0.00916441 -3.44677 2.73644 -0.00064028 0 0 -0.0151927 2.08532e-17 0.0247019 
7.3204 -0.00916441 -3.44677 2.73644 -0.000505838 0 0 -0.0151927 2.08532e-17 0.0247019 
7.79684 -0.00916441 -3.44677 2.73644 -0.000399911 0 0 -0.0151927 2.08532e-17 0.0247019 
8.27185 -0.00916441 -3.44677 2.73644 -0.000316384 0 0 -0.0151927 2.08532e-17 0.0247019 
8.74544 -0.00916441 -3.44677 2.73644 -0.000250476 0 0 -0.0151927 2.08532e-17 0.0247019 
9.21761 -0.00916441 -3.44677 2.73644 -0.000198446 0 0 -0.0151927 2.08532e-17 0.0247019 
9.68837 -0.00916441 -3.44677 2.73644 -0.000157336 0 0 -0.0151927 2.08532e-17 0.0247019 
10.1577 -0.00916441 -3.44677 2.73644 -0.000124828 0 0 -0.0151927 2.08532e-17 0.0247019 
10.6257 -0.00916441 -3.44677 2.73644 -9.90999e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
11.0922 -0.00916441 -3.44677 2.73644 -7.87327e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
11.5574 -0.00916441 -3.44677 2.73644 -6.25869e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
12.0212 -0.00916441 -3.44677 2.73644 -4.97749e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
12.4835 -0.00916441 -3.44677 2.73644 -3.96253e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
12.9445 -0.00916441 -3.44677 2.73644 -3.15646e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
13.4042 -0.00916441 -3.44677 2.73644 -2.51618e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
13.8624 -0.00916441 -3.44677 2.73644 -2.00838e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
14.3193 -0.00916441 -3.44677 2.73644 -1.6035e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
14.7748 -0.00916441 -3.44677 2.73644 -1.2812e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
15.2289 -0.00916441 -3.44677 2.73644 -1.0236e-05 0 0 -0.0151927 2.08532e-17 0.0247019 
15.6817 -0.00916441 -3.44677 2.73644 -8.17775e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
16.1332 -0.00916441 -3.44677 2.73644 -6.55083e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
16.5832 -0.00916441 -3.44677 2.73644 -5.25052e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
17.032 -0.00916441 -3.44677 2.73644 -4.20288e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
17.4794 -0.00916441 -3.44677 2.73644 -3.36477e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
17.9254 -0.00916441 -3.44677 2.73644 -2.69922e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
18.3702 -0.00916441 -3.44677 2.73644 -2.16307e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
18.8136 -0.00916441 -3.44677 2.73644 -1.73169e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
19.2556 -0.00916441 -3.44677 2.73644 -1.39275e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
19.6964 -0.00916441 -3.44677 2.73644 -1.12159e-06 0 0 -0.0151927 2.08532e-17 0.0247019 
20.1358 -0.00916441 -3.44677 2.73644 -8.99739e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
20.5739 -0.00916441 -3.44677 2.73644 -7.27195e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
21.0107 -0.00916441 -3.44677 2.73644 -5.91614e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
21.4462 -0.00916441 -3.44677 2.73644 -4.80687e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
21.8804 -0.00916441 -3.44677 2.73644 -3.8207e-07 0 0 -0.0151927 2.08532e-17 0.0247019 
