# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 ElPotential
# 7 eDensity
# 8 hDensity
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity 
-4.97011e-34 0.690968 -0.0357361 0 0 0.00573608 476896 5.80532e+18 
0.1 0.691002 -0.0357026 0 0 0.00570261 476279 5.81228e+18 
0.2 0.691102 -0.0356021 0 0 0.0056021 474431 5.83321e+18 
0.3 0.69127 -0.0354343 0 0 0.00543432 471361 5.86831e+18 
0.4 0.691506 -0.0351989 0 0 0.00519885 467088 5.91789e+18 
0.5 0.691809 -0.0348951 0 0 0.00489514 461633 5.98242e+18 
0.6 0.692182 -0.0345224 0 0 0.00452244 455025 6.0625e+18 
0.7 0.692625 -0.0340798 0 0 0.00407981 447301 6.15888e+18 
0.8 0.693138 -0.0335662 0 0 0.00356616 438501 6.27249e+18 
0.9 0.693724 -0.0329802 0 0 0.00298016 428673 6.40446e+18 
1 0.694384 -0.0323203 0 0 0.00232031 417870 6.55611e+18 
1.1 0.69512 -0.0315848 0 0 0.00158484 406149 6.72901e+18 
1.2 0.695933 -0.0307718 0 0 0.000771769 393574 6.925e+18 
1.2 -0.236478 -0.590772 0 0 0.000771769 2.22215e+18 1.91089e+08 
1.2987 -0.235619 -0.589913 0 0 -8.72695e-05 2.21029e+18 1.97545e+08 
1.39741 -0.234786 -0.589079 0 0 -0.000920588 2.19881e+18 2.04017e+08 
1.49611 -0.233978 -0.588272 0 0 -0.00172832 2.1877e+18 2.10492e+08 
1.59482 -0.233196 -0.587489 0 0 -0.00251059 2.17696e+18 2.16958e+08 
1.69352 -0.232439 -0.586732 0 0 -0.00326754 2.16659e+18 2.23405e+08 
1.79223 -0.231707 -0.586001 0 0 -0.00399927 2.15657e+18 2.29818e+08 
1.89093 -0.231 -0.585294 0 0 -0.0047059 2.14692e+18 2.36187e+08 
1.98964 -0.230319 -0.584612 0 0 -0.00538755 2.13762e+18 2.42497e+08 
2.08834 -0.229662 -0.583956 0 0 -0.00604433 2.12868e+18 2.48737e+08 
2.18705 -0.22903 -0.583324 0 0 -0.00667634 2.12008e+18 2.54893e+08 
2.28575 -0.228422 -0.582716 0 0 -0.00728367 2.11183e+18 2.60952e+08 
2.38446 -0.22784 -0.582134 0 0 -0.00786643 2.10393e+18 2.66901e+08 
2.48316 -0.227281 -0.581575 0 0 -0.00842471 2.09637e+18 2.72728e+08 
2.58187 -0.226748 -0.581041 0 0 -0.0089586 2.08914e+18 2.78418e+08 
2.68057 -0.226238 -0.580532 0 0 -0.00946817 2.08226e+18 2.83961e+08 
2.77928 -0.225753 -0.580046 0 0 -0.00995352 2.07571e+18 2.89342e+08 
2.87798 -0.225291 -0.579585 0 0 -0.0104147 2.06949e+18 2.9455e+08 
2.97669 -0.224854 -0.579148 0 0 -0.0108518 2.0636e+18 2.99573e+08 
3.07539 -0.224441 -0.578735 0 0 -0.0112649 2.05804e+18 3.04398e+08 
3.1741 -0.224052 -0.578346 0 0 -0.0116541 2.05281e+18 3.09015e+08 
3.2728 -0.223687 -0.577981 0 0 -0.0120193 2.0479e+18 3.13412e+08 
3.37151 -0.223345 -0.577639 0 0 -0.0123607 2.04332e+18 3.17579e+08 
3.47021 -0.223028 -0.577322 0 0 -0.0126784 2.03906e+18 3.21505e+08 
3.56892 -0.222734 -0.577028 0 0 -0.0129723 2.03512e+18 3.25181e+08 
3.66762 -0.222464 -0.576757 0 0 -0.0132426 2.0315e+18 3.28598e+08 
3.76633 -0.222217 -0.576511 0 0 -0.0134892 2.0282e+18 3.31748e+08 
3.86503 -0.221994 -0.576288 0 0 -0.0137122 2.02522e+18 3.34622e+08 
3.96374 -0.221795 -0.576088 0 0 -0.0139116 2.02255e+18 3.37213e+08 
4.06244 -0.221619 -0.575913 0 0 -0.0140875 2.0202e+18 3.39515e+08 
4.16115 -0.221466 -0.57576 0 0 -0.0142399 2.01816e+18 3.41522e+08 
4.25985 -0.221337 -0.575631 0 0 -0.0143688 2.01644e+18 3.4323e+08 
4.35856 -0.221232 -0.575526 0 0 -0.0144742 2.01503e+18 3.44632e+08 
4.45726 -0.22115 -0.575444 0 0 -0.0145562 2.01394e+18 3.45727e+08 
4.55597 -0.221091 -0.575385 0 0 -0.0146148 2.01316e+18 3.46511e+08 
4.65467 -0.221056 -0.57535 0 0 -0.0146499 2.01269e+18 3.46982e+08 
4.75337 -0.221044 -0.575338 0 0 -0.0146616 2.01253e+18 3.4714e+08 
