# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 
-4.97011e-34 3.02725e-29 0 0 0 0 0 2.6767e-27 1.21877e-27 1.21877e-27 0 0 0 
0.1 3.03218e-29 0 0 0 0 0 2.68106e-27 1.22076e-27 1.22076e-27 0 0 0 
0.2 3.02725e-29 0 0 0 0 0 2.6767e-27 1.21877e-27 1.21877e-27 0 0 0 
0.3 3.01739e-29 0 0 0 0 0 2.66798e-27 1.2148e-27 1.2148e-27 0 0 0 
0.4 2.98781e-29 0 0 0 0 0 2.64182e-27 1.20289e-27 1.20289e-27 0 0 0 
0.5 2.97795e-29 0 0 0 0 0 2.6331e-27 1.19892e-27 1.19892e-27 0 0 0 
0.6 2.99767e-29 0 0 0 0 0 2.65054e-27 1.20686e-27 1.20686e-27 0 0 0 
0.7 2.99767e-29 0 0 0 0 0 2.65054e-27 1.20686e-27 1.20686e-27 0 0 0 
0.8 3.07656e-29 0 0 0 0 0 2.72029e-27 1.23862e-27 1.23862e-27 0 0 0 
0.9 3.19489e-29 0 0 0 0 0 2.82492e-27 1.28626e-27 1.28626e-27 0 0 0 
1 3.15544e-29 0 0 0 0 0 2.79004e-27 1.27038e-27 1.27038e-27 0 0 0 
1.1 3.07656e-29 0 0 0 0 0 2.72029e-27 1.23862e-27 1.23862e-27 0 0 0 
1.2 3.07656e-29 0 0 0 0 0 2.72029e-27 1.23862e-27 1.23862e-27 0 0 0 
1.2 -0.00674511 0.00620636 0.00620636 0 0 0 -1.11022e-16 0.492544 0.492544 0 0 0 
1.2987 -0.00674511 0.00620636 0.00620636 0 0 0 -5.55112e-17 0.492544 0.492544 0 0 0 
1.39741 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.49611 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.59482 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.69352 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.79223 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.89093 -0.00674511 0.00620636 0.00620636 0 0 0 0 0.492544 0.492544 0 0 0 
1.98964 -0.00674511 0.00620636 0.00620636 0 0 0 -5.55112e-17 0.492544 0.492544 0 0 0 
