# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 CurrentDensity_x
# 17 CurrentDensity_y
# 18 CurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
0 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.42323e-05 0 0 0 0 0 0 0 0 
1.5015 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.42068e-05 0 0 0 0 0 0 0 0 
3.003 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.41557e-05 0 0 0 0 0 0 0 0 
4.5045 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.41047e-05 0 0 0 0 0 0 0 0 
6.00601 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.40535e-05 0 0 0 0 0 0 0 0 
7.50751 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.40025e-05 0 0 0 0 0 0 0 0 
9.00901 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.39514e-05 0 0 0 0 0 0 0 0 
10.5105 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.39004e-05 0 0 0 0 0 0 0 0 
12.012 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.38493e-05 0 0 0 0 0 0 0 0 
13.5135 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.37982e-05 0 0 0 0 0 0 0 0 
15.015 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.37471e-05 0 0 0 0 0 0 0 0 
16.5165 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.3696e-05 0 0 0 0 0 0 0 0 
18.018 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.36449e-05 0 0 0 0 0 0 0 0 
19.5195 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.35939e-05 0 0 0 0 0 0 0 0 
21.021 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.35428e-05 0 0 0 0 0 0 0 0 
22.5225 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.34917e-05 0 0 0 0 0 0 0 0 
24.024 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.34407e-05 0 0 0 0 0 0 0 0 
25.5255 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.33896e-05 0 0 0 0 0 0 0 0 
27.027 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.33385e-05 0 0 0 0 0 0 0 0 
28.5285 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.32875e-05 0 0 0 0 0 0 0 0 
30.03 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.32364e-05 0 0 0 0 0 0 0 0 
31.5315 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.31852e-05 0 0 0 0 0 0 0 0 
33.033 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.31342e-05 0 0 0 0 0 0 0 0 
34.5345 0.674646 -0.747836 0 0 2.02066e+06 4.45057e+06 8500 400 -1.30831e-05 0 0 0 0 0 0 0 0 
