# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 
0 -5.89409e-15 0 0 0 0 0 
1.5015 -5.89409e-15 0 0 0 0 0 
3.003 -5.89409e-15 0 0 0 0 0 
4.5045 -5.89409e-15 0 0 0 0 0 
6.00601 -5.89409e-15 0 0 0 0 0 
7.50751 -5.89409e-15 0 0 0 0 0 
9.00901 -5.89409e-15 0 0 0 0 0 
10.5105 -5.89409e-15 0 0 0 0 0 
12.012 -5.89409e-15 0 0 0 0 0 
13.5135 -5.89409e-15 0 0 0 0 0 
15.015 -5.89409e-15 0 0 0 0 0 
16.5165 -5.89409e-15 0 0 0 0 0 
18.018 -5.89409e-15 0 0 0 0 0 
19.5195 -5.89409e-15 0 0 0 0 0 
21.021 -5.89409e-15 0 0 0 0 0 
22.5225 -5.89409e-15 0 0 0 0 0 
24.024 -5.89409e-15 0 0 0 0 0 
25.5255 -5.89409e-15 0 0 0 0 0 
27.027 -5.89409e-15 0 0 0 0 0 
28.5285 -5.89409e-15 0 0 0 0 0 
30.03 -5.89409e-15 0 0 0 0 0 
31.5315 -5.89409e-15 0 0 0 0 0 
33.033 -5.89409e-15 0 0 0 0 0 
34.5345 -5.89409e-15 0 0 0 0 0 
36.036 -5.89409e-15 0 0 0 0 0 
37.5375 -5.89409e-15 0 0 0 0 0 
39.039 -5.89409e-15 0 0 0 0 0 
40.5405 -5.89409e-15 0 0 0 0 0 
42.042 -5.89409e-15 0 0 0 0 0 
43.5435 -5.89409e-15 0 0 0 0 0 
45.045 -5.89409e-15 0 0 0 0 0 
46.5465 -5.89409e-15 0 0 0 0 0 
48.048 -5.89409e-15 0 0 0 0 0 
49.5495 -5.89409e-15 0 0 0 0 0 
51.0511 -5.89409e-15 0 0 0 0 0 
52.5526 -5.89409e-15 0 0 0 0 0 
54.0541 -5.89409e-15 0 0 0 0 0 
55.5556 -5.89409e-15 0 0 0 0 0 
57.0571 -5.89409e-15 0 0 0 0 0 
58.5586 -5.89409e-15 0 0 0 0 0 
60.0601 -5.89409e-15 0 0 0 0 0 
61.5616 -5.89409e-15 0 0 0 0 0 
63.0631 -5.89409e-15 0 0 0 0 0 
64.5646 -5.89409e-15 0 0 0 0 0 
66.0661 -5.89409e-15 0 0 0 0 0 
67.5676 -5.89409e-15 0 0 0 0 0 
69.0691 -5.89409e-15 0 0 0 0 0 
70.5706 -5.89409e-15 0 0 0 0 0 
72.0721 -5.89409e-15 0 0 0 0 0 
73.5736 -5.89409e-15 0 0 0 0 0 
75.0751 -5.89409e-15 0 0 0 0 0 
76.5766 -5.89409e-15 0 0 0 0 0 
78.0781 -5.89409e-15 0 0 0 0 0 
79.5796 -5.89409e-15 0 0 0 0 0 
81.0811 -5.89409e-15 0 0 0 0 0 
82.5826 -5.89409e-15 0 0 0 0 0 
84.0841 -5.89409e-15 0 0 0 0 0 
85.5856 -5.89409e-15 0 0 0 0 0 
87.0871 -5.89409e-15 0 0 0 0 0 
88.5886 -5.89409e-15 0 0 0 0 0 
90.0901 -5.89409e-15 0 0 0 0 0 
91.5916 -5.89409e-15 0 0 0 0 0 
93.0931 -5.89409e-15 0 0 0 0 0 
94.5946 -5.89409e-15 0 0 0 0 0 
96.0961 -5.89409e-15 0 0 0 0 0 
97.5976 -5.89409e-15 0 0 0 0 0 
99.0991 -5.89409e-15 0 0 0 0 0 
100.601 -5.89409e-15 0 0 0 0 0 
102.102 -5.89409e-15 0 0 0 0 0 
103.604 -5.89409e-15 0 0 0 0 0 
105.105 -5.89409e-15 0 0 0 0 0 
106.607 -5.89409e-15 0 0 0 0 0 
108.108 -5.89409e-15 0 0 0 0 0 
109.61 -5.89409e-15 0 0 0 0 0 
111.111 -5.89409e-15 0 0 0 0 0 
112.613 -5.89409e-15 0 0 0 0 0 
114.114 -5.89409e-15 0 0 0 0 0 
115.616 -5.89409e-15 0 0 0 0 0 
117.117 -5.89409e-15 0 0 0 0 0 
118.619 -5.89409e-15 0 0 0 0 0 
120.12 -5.89409e-15 0 0 0 0 0 
121.622 -5.89409e-15 0 0 0 0 0 
123.123 -5.89409e-15 0 0 0 0 0 
124.625 -5.89409e-15 0 0 0 0 0 
126.126 -5.89409e-15 0 0 0 0 0 
127.628 -5.89409e-15 0 0 0 0 0 
129.129 -5.89409e-15 0 0 0 0 0 
130.631 -5.89409e-15 0 0 0 0 0 
132.132 -5.89409e-15 0 0 0 0 0 
133.634 -5.89409e-15 0 0 0 0 0 
135.135 -5.89409e-15 0 0 0 0 0 
136.637 -5.89409e-15 0 0 0 0 0 
138.138 -5.89409e-15 0 0 0 0 0 
139.64 -5.89409e-15 0 0 0 0 0 
141.141 -5.89409e-15 0 0 0 0 0 
142.643 -5.89409e-15 0 0 0 0 0 
144.144 -5.89409e-15 0 0 0 0 0 
145.646 -5.89409e-15 0 0 0 0 0 
147.147 -5.89409e-15 0 0 0 0 0 
148.649 -5.89409e-15 0 0 0 0 0 
150.15 -5.89409e-15 0 0 0 0 0 
151.652 -5.89409e-15 0 0 0 0 0 
153.153 -5.89409e-15 0 0 0 0 0 
154.655 -5.89409e-15 0 0 0 0 0 
156.156 -5.89409e-15 0 0 0 0 0 
157.658 -5.89409e-15 0 0 0 0 0 
159.159 -5.89409e-15 0 0 0 0 0 
160.661 -5.89409e-15 0 0 0 0 0 
162.162 -5.89409e-15 0 0 0 0 0 
163.664 -5.89409e-15 0 0 0 0 0 
165.165 -5.89409e-15 0 0 0 0 0 
166.667 -5.89409e-15 0 0 0 0 0 
168.168 -5.89409e-15 0 0 0 0 0 
169.67 -5.89409e-15 0 0 0 0 0 
171.171 -5.89409e-15 0 0 0 0 0 
172.673 -5.89409e-15 0 0 0 0 0 
174.174 -5.89409e-15 0 0 0 0 0 
175.676 -5.89409e-15 0 0 0 0 0 
177.177 -5.89409e-15 0 0 0 0 0 
178.679 -5.89409e-15 0 0 0 0 0 
180.18 -5.89409e-15 0 0 0 0 0 
181.682 -5.89409e-15 0 0 0 0 0 
183.183 -5.89409e-15 0 0 0 0 0 
184.685 -5.89409e-15 0 0 0 0 0 
186.186 -5.89409e-15 0 0 0 0 0 
187.688 -5.89409e-15 0 0 0 0 0 
189.189 -5.89409e-15 0 0 0 0 0 
190.691 -5.89409e-15 0 0 0 0 0 
192.192 -5.89409e-15 0 0 0 0 0 
193.694 -5.89409e-15 0 0 0 0 0 
195.195 -5.89409e-15 0 0 0 0 0 
196.697 -5.89409e-15 0 0 0 0 0 
198.198 -5.89409e-15 0 0 0 0 0 
199.7 -5.89409e-15 0 0 0 0 0 
201.201 -5.89409e-15 0 0 0 0 0 
202.703 -5.89409e-15 0 0 0 0 0 
204.204 -5.89409e-15 0 0 0 0 0 
205.706 -5.89409e-15 0 0 0 0 0 
207.207 -5.89409e-15 0 0 0 0 0 
208.709 -5.89409e-15 0 0 0 0 0 
210.21 -5.89409e-15 0 0 0 0 0 
211.712 -5.89409e-15 0 0 0 0 0 
213.213 -5.89409e-15 0 0 0 0 0 
214.715 -5.89409e-15 0 0 0 0 0 
216.216 -5.89409e-15 0 0 0 0 0 
217.718 -5.89409e-15 0 0 0 0 0 
219.219 -5.89409e-15 0 0 0 0 0 
220.721 -5.89409e-15 0 0 0 0 0 
222.222 -5.89409e-15 0 0 0 0 0 
223.724 -5.89409e-15 0 0 0 0 0 
225.225 -5.89409e-15 0 0 0 0 0 
226.727 -5.89409e-15 0 0 0 0 0 
228.228 -5.89409e-15 0 0 0 0 0 
229.73 -5.89409e-15 0 0 0 0 0 
231.231 -5.89409e-15 0 0 0 0 0 
232.733 -5.89409e-15 0 0 0 0 0 
234.234 -5.89409e-15 0 0 0 0 0 
235.736 -5.89409e-15 0 0 0 0 0 
237.237 -5.89409e-15 0 0 0 0 0 
238.739 -5.89409e-15 0 0 0 0 0 
240.24 -5.89409e-15 0 0 0 0 0 
241.742 -5.89409e-15 0 0 0 0 0 
243.243 -5.89409e-15 0 0 0 0 0 
244.745 -5.89409e-15 0 0 0 0 0 
246.246 -5.89409e-15 0 0 0 0 0 
247.748 -5.89409e-15 0 0 0 0 0 
249.249 -5.89409e-15 0 0 0 0 0 
250.751 -5.89409e-15 0 0 0 0 0 
252.252 -5.89409e-15 0 0 0 0 0 
253.754 -5.89409e-15 0 0 0 0 0 
255.255 -5.89409e-15 0 0 0 0 0 
256.757 -5.89409e-15 0 0 0 0 0 
258.258 -5.89409e-15 0 0 0 0 0 
259.76 -5.89409e-15 0 0 0 0 0 
261.261 -5.89409e-15 0 0 0 0 0 
262.763 -5.89409e-15 0 0 0 0 0 
264.264 -5.89409e-15 0 0 0 0 0 
265.766 -5.89409e-15 0 0 0 0 0 
267.267 -5.89409e-15 0 0 0 0 0 
268.769 -5.89409e-15 0 0 0 0 0 
270.27 -5.89409e-15 0 0 0 0 0 
271.772 -5.89409e-15 0 0 0 0 0 
273.273 -5.89409e-15 0 0 0 0 0 
274.775 -5.89409e-15 0 0 0 0 0 
276.276 -5.89409e-15 0 0 0 0 0 
277.778 -5.89409e-15 0 0 0 0 0 
279.279 -5.89409e-15 0 0 0 0 0 
280.781 -5.89409e-15 0 0 0 0 0 
282.282 -5.89409e-15 0 0 0 0 0 
283.784 -5.89409e-15 0 0 0 0 0 
285.285 -5.89409e-15 0 0 0 0 0 
286.787 -5.89409e-15 0 0 0 0 0 
288.288 -5.89409e-15 0 0 0 0 0 
289.79 -5.89409e-15 0 0 0 0 0 
291.291 -5.89409e-15 0 0 0 0 0 
292.793 -5.89409e-15 0 0 0 0 0 
294.294 -5.89409e-15 0 0 0 0 0 
295.796 -5.89409e-15 0 0 0 0 0 
297.297 -5.89409e-15 0 0 0 0 0 
298.799 -5.89409e-15 0 0 0 0 0 
300.3 -5.89409e-15 0 0 0 0 0 
301.802 -5.89409e-15 0 0 0 0 0 
303.303 -5.89409e-15 0 0 0 0 0 
304.805 -5.89409e-15 0 0 0 0 0 
306.306 -5.89409e-15 0 0 0 0 0 
307.808 -5.89409e-15 0 0 0 0 0 
309.309 -5.89409e-15 0 0 0 0 0 
310.811 -5.89409e-15 0 0 0 0 0 
312.312 -5.89409e-15 0 0 0 0 0 
313.814 -5.89409e-15 0 0 0 0 0 
315.315 -5.89409e-15 0 0 0 0 0 
316.817 -5.89409e-15 0 0 0 0 0 
318.318 -5.89409e-15 0 0 0 0 0 
319.82 -5.89409e-15 0 0 0 0 0 
321.321 -5.89409e-15 0 0 0 0 0 
322.823 -5.89409e-15 0 0 0 0 0 
324.324 -5.89409e-15 0 0 0 0 0 
325.826 -5.89409e-15 0 0 0 0 0 
327.327 -5.89409e-15 0 0 0 0 0 
328.829 -5.89409e-15 0 0 0 0 0 
330.33 -5.89409e-15 0 0 0 0 0 
331.832 -5.89409e-15 0 0 0 0 0 
333.333 -5.89409e-15 0 0 0 0 0 
334.835 -5.89409e-15 0 0 0 0 0 
336.336 -5.89409e-15 0 0 0 0 0 
337.838 -5.89409e-15 0 0 0 0 0 
339.339 -5.89409e-15 0 0 0 0 0 
340.841 -5.89409e-15 0 0 0 0 0 
342.342 -5.89409e-15 0 0 0 0 0 
343.844 -5.89409e-15 0 0 0 0 0 
345.345 -5.89409e-15 0 0 0 0 0 
346.847 -5.89409e-15 0 0 0 0 0 
348.348 -5.89409e-15 0 0 0 0 0 
349.85 -5.89409e-15 0 0 0 0 0 
351.351 -5.89409e-15 0 0 0 0 0 
352.853 -5.89409e-15 0 0 0 0 0 
354.354 -5.89409e-15 0 0 0 0 0 
355.856 -5.89409e-15 0 0 0 0 0 
357.357 -5.89409e-15 0 0 0 0 0 
358.859 -5.89409e-15 0 0 0 0 0 
360.36 -5.89409e-15 0 0 0 0 0 
361.862 -5.89409e-15 0 0 0 0 0 
363.363 -5.89409e-15 0 0 0 0 0 
364.865 -5.89409e-15 0 0 0 0 0 
366.366 -5.89409e-15 0 0 0 0 0 
367.868 -5.89409e-15 0 0 0 0 0 
369.369 -5.89409e-15 0 0 0 0 0 
370.871 -5.89409e-15 0 0 0 0 0 
372.372 -5.89409e-15 0 0 0 0 0 
373.874 -5.89409e-15 0 0 0 0 0 
375.375 -5.89409e-15 0 0 0 0 0 
376.877 -5.89409e-15 0 0 0 0 0 
378.378 -5.89409e-15 0 0 0 0 0 
379.88 -5.89409e-15 0 0 0 0 0 
381.381 -5.89409e-15 0 0 0 0 0 
382.883 -5.89409e-15 0 0 0 0 0 
384.384 -5.89409e-15 0 0 0 0 0 
385.886 -5.89409e-15 0 0 0 0 0 
387.387 -5.89409e-15 0 0 0 0 0 
