# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# backcontact.current      A/cm           real
# drain.current            A/cm           real
# gate.current             A/cm           real
# source.current           A/cm           real
# --------------------------------------------------
#
# $Vd backcontact.current drain.current gate.current source.current 
0 -3.97337e-17 1.96301e-17 0 2.01046e-17
0.05 5.8717e-15 -1.49513e-05 0 1.49513e-05
0.1 9.07102e-15 -1.67307e-05 0 1.67307e-05
0.15 1.14492e-14 -1.79754e-05 0 1.79754e-05
0.2 1.35931e-14 -1.92542e-05 0 1.92542e-05
0.25 1.56892e-14 -2.05778e-05 0 2.05778e-05
0.3 1.77427e-14 -2.19506e-05 0 2.19506e-05
0.35 1.96706e-14 -2.33763e-05 0 2.33763e-05
0.4 2.14621e-14 -2.48578e-05 0 2.48578e-05
0.45 2.31753e-14 -2.63978e-05 0 2.63978e-05
0.5 2.48691e-14 -2.7999e-05 0 2.7999e-05
0.55 2.65512e-14 -2.96641e-05 0 2.96641e-05
0.6 2.81924e-14 -3.13956e-05 0 3.13956e-05
0.65 2.97574e-14 -3.31962e-05 0 3.31962e-05
0.7 3.12557e-14 -3.50686e-05 0 3.50686e-05
0.75 3.26946e-14 -3.70157e-05 0 3.70157e-05
0.8 3.40901e-14 -3.90404e-05 0 3.90404e-05
0.85 3.54655e-14 -4.11457e-05 0 4.11457e-05
0.9 3.68469e-14 -4.33347e-05 0 4.33347e-05
0.95 3.8217e-14 -4.56105e-05 0 4.56105e-05
1 3.95542e-14 -4.79766e-05 0 4.79766e-05
1.05 4.08522e-14 -5.04361e-05 0 5.04361e-05
1.1 4.21321e-14 -5.29927e-05 0 5.29927e-05
1.15 4.34302e-14 -5.56499e-05 0 5.56499e-05
1.2 4.47469e-14 -5.84112e-05 0 5.84112e-05
1.25 4.6045e-14 -6.12805e-05 0 6.12805e-05
1.3 4.72728e-14 -6.42615e-05 0 6.42615e-05
1.35 4.84292e-14 -6.73582e-05 0 6.73582e-05
1.4 4.95548e-14 -7.05746e-05 0 7.05746e-05
1.45 5.06819e-14 -7.39149e-05 0 7.39149e-05
1.5 5.18117e-14 -7.73834e-05 0 7.73834e-05
1.55 5.29382e-14 -8.09846e-05 0 8.09846e-05
1.6 5.40583e-14 -8.47229e-05 0 8.47229e-05
1.65 5.51819e-14 -8.86031e-05 0 8.86031e-05
1.7 5.63296e-14 -9.263e-05 0 9.263e-05
1.75 5.75084e-14 -9.68088e-05 0 9.68088e-05
1.8 5.86928e-14 -0.000101144 0 0.000101144
1.85 5.98362e-14 -0.000105642 0 0.000105642
1.9 6.09249e-14 -0.000110308 0 0.000110308
1.95 6.19709e-14 -0.000115147 0 0.000115147
2 6.30029e-14 -0.000120165 0 0.000120165
