# Parameter sweep (sweep_drain)
# Simulation    : driftdiffusion
# Sweep variable: $Vd
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# backcontact.current      A/cm           real
# drain.current            A/cm           real
# gate.current             A/cm           real
# source.current           A/cm           real
# --------------------------------------------------
#
# $Vd backcontact.current drain.current gate.current source.current 
0 -3.89033e-17 1.9213e-17 0 1.96913e-17
0.05 6.18331e-15 -0.140226 0 0.140226
0.1 1.00559e-14 -0.260423 0 0.260423
0.15 1.30817e-14 -0.362933 0 0.362933
0.2 1.58126e-14 -0.450161 0 0.450161
0.25 1.8455e-14 -0.52414 0 0.52414
0.3 2.10235e-14 -0.586549 0 0.586549
0.35 2.34391e-14 -0.638786 0 0.638786
0.4 2.56846e-14 -0.682051 0 0.682051
0.45 2.78183e-14 -0.717413 0 0.717413
0.5 2.98947e-14 -0.745861 0 0.745861
0.55 3.19144e-14 -0.76835 0 0.76835
0.6 3.38459e-14 -0.785829 0 0.785829
0.65 3.56566e-14 -0.799249 0 0.799249
0.7 3.7353e-14 -0.809544 0 0.809544
0.75 3.89517e-14 -0.817575 0 0.817575
0.8 4.04705e-14 -0.824061 0 0.824061
0.85 4.19419e-14 -0.82953 0 0.82953
0.9 4.33954e-14 -0.83433 0 0.83433
0.95 4.48176e-14 -0.838675 0 0.838675
1 4.61964e-14 -0.842691 0 0.842691
1.05 4.75326e-14 -0.846456 0 0.846456
1.1 4.88471e-14 -0.85002 0 0.85002
1.15 5.01763e-14 -0.853415 0 0.853415
1.2 5.15236e-14 -0.856666 0 0.856666
1.25 5.28425e-14 -0.859788 0 0.859788
1.3 5.40819e-14 -0.862797 0 0.862797
1.35 5.52521e-14 -0.865704 0 0.865704
1.4 5.63995e-14 -0.868519 0 0.868519
1.45 5.75539e-14 -0.871249 0 0.871249
1.5 5.87102e-14 -0.873903 0 0.873903
1.55 5.98548e-14 -0.876486 0 0.876486
1.6 6.09782e-14 -0.879004 0 0.879004
1.65 6.20909e-14 -0.881463 0 0.881463
1.7 6.32223e-14 -0.883866 0 0.883866
1.75 6.43792e-14 -0.886218 0 0.886218
1.8 6.55389e-14 -0.888523 0 0.888523
1.85 6.66575e-14 -0.890782 0 0.890782
1.9 6.7717e-14 -0.893001 0 0.893001
1.95 6.87318e-14 -0.895179 0 0.895179
2 6.97239e-14 -0.897321 0 0.897321
