# Parameter sweep (sweep_gate)
# Simulation    : driftdiffusion
# Sweep variable: $Vg
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# backcontact.current      A/cm           real
# drain.current            A/cm           real
# gate.current             A/cm           real
# source.current           A/cm           real
# --------------------------------------------------
#
# $Vg backcontact.current drain.current gate.current source.current 
-0.5 4.24785e-14 -1.68035e-11 2.6594e-14 1.67344e-11
-0.48 4.3219e-14 -3.00848e-11 2.74965e-14 3.00141e-11
-0.46 4.5085e-14 -5.39953e-11 2.82449e-14 5.3922e-11
-0.44 4.35261e-14 -9.70818e-11 1.89714e-14 9.70193e-11
-0.42 4.73814e-14 -1.74897e-10 3.78718e-14 1.74811e-10
-0.4 4.27847e-14 -3.15456e-10 3.10592e-14 3.15382e-10
-0.38 3.98821e-14 -5.69714e-10 -4.01816e-16 5.69675e-10
-0.36 4.4409e-14 -1.03021e-09 1.40753e-14 1.03015e-09
-0.34 4.07018e-14 -1.86478e-09 9.17752e-15 1.86473e-09
-0.32 4.37492e-14 -3.37872e-09 7.64969e-15 3.37867e-09
-0.3 4.78115e-14 -6.12721e-09 5.6168e-14 6.1271e-09
-0.28 4.13651e-14 -1.11203e-08 1.23368e-14 1.11202e-08
-0.26 4.49287e-14 -2.01975e-08 3.47312e-14 2.01974e-08
-0.24 4.45611e-14 -3.67089e-08 4.16028e-14 3.67088e-08
-0.22 4.45803e-14 -6.6759e-08 1.83735e-14 6.6759e-08
-0.2 5.11527e-14 -1.21475e-07 4.40733e-14 1.21475e-07
-0.18 5.14635e-14 -2.21141e-07 1.79101e-14 2.21141e-07
-0.16 6.04737e-14 -4.02741e-07 1.18849e-14 4.02741e-07
-0.14 7.79343e-14 -7.337e-07 2.55858e-14 7.337e-07
-0.12 1.05651e-13 -1.33691e-06 2.98425e-15 1.33691e-06
-0.1 1.59721e-13 -2.43627e-06 -1.85668e-15 2.43627e-06
-0.08 2.59173e-13 -4.4393e-06 1.17436e-14 4.4393e-06
-0.06 4.40228e-13 -8.0867e-06 1.35278e-14 8.0867e-06
-0.04 7.70285e-13 -1.47217e-05 9.25695e-16 1.47217e-05
-0.02 1.36894e-12 -2.67714e-05 -2.87866e-14 2.67714e-05
0 2.45183e-12 -4.85965e-05 -6.4662e-14 4.85965e-05
0.02 4.40056e-12 -8.79621e-05 -2.01906e-13 8.79621e-05
0.04 7.95698e-12 -0.000158501 -8.52088e-13 0.000158501
0.06 1.41057e-11 -0.000283622 -6.63719e-13 0.000283622
0.08 2.49701e-11 -0.000502155 -1.55795e-12 0.000502155
0.1 4.34415e-11 -0.000875234 -2.14968e-12 0.000875234
0.12 7.43053e-11 -0.00149204 -6.81333e-12 0.00149204
0.14 1.225e-10 -0.00246962 -6.25651e-12 0.00246962
0.16 1.95549e-10 -0.00394175 -1.05325e-11 0.00394175
0.18 2.99402e-10 -0.00603728 -1.56774e-11 0.00603728
0.2 4.39188e-10 -0.00885683 -2.32662e-11 0.00885683
0.22 6.17789e-10 -0.0124591 -3.30807e-11 0.0124591
0.24 8.36013e-10 -0.0168608 -4.52836e-11 0.0168608
0.26 1.09308e-09 -0.0220461 -5.97881e-11 0.0220461
0.28 1.38715e-09 -0.027978 -7.66432e-11 0.027978
0.3 1.71587e-09 -0.0346089 -9.56945e-11 0.0346089
0.32 2.07621e-09 -0.0418871 -1.0501e-10 0.0418871
0.34 2.46701e-09 -0.0497614 -1.39859e-10 0.0497614
0.36 2.88446e-09 -0.0581829 -1.64842e-10 0.0581829
0.38 3.3268e-09 -0.0671066 -1.91588e-10 0.0671066
0.4 3.79192e-09 -0.0764914 -2.18409e-10 0.0764914
0.42 4.27813e-09 -0.0863002 -2.49016e-10 0.0863002
0.44 4.78368e-09 -0.0964995 -2.8084e-10 0.0964995
0.46 5.30706e-09 -0.107059 -3.14028e-10 0.107059
0.48 5.84694e-09 -0.117952 -3.48561e-10 0.117952
0.5 6.40211e-09 -0.129153 -3.84393e-10 0.129153
0.52 6.97147e-09 -0.140641 -4.21471e-10 0.140641
0.54 7.55403e-09 -0.152396 -4.59784e-10 0.152396
0.56 8.14888e-09 -0.164399 -4.99303e-10 0.164399
0.58 8.75521e-09 -0.176634 -5.40149e-10 0.176634
0.6 9.37225e-09 -0.189086 -5.82038e-10 0.189086
0.62 9.99934e-09 -0.20174 -6.25017e-10 0.20174
0.64 1.06358e-08 -0.214585 -6.69203e-10 0.214585
0.66 1.12811e-08 -0.227608 -7.14517e-10 0.227608
0.68 1.19347e-08 -0.240798 -7.6086e-10 0.240798
0.7 1.25961e-08 -0.254146 -8.08335e-10 0.254146
0.72 1.32647e-08 -0.267641 -8.56808e-10 0.267641
0.74 1.39403e-08 -0.281276 -9.06373e-10 0.281276
0.76 1.46223e-08 -0.295042 -9.56921e-10 0.295042
0.78 1.53104e-08 -0.308931 -1.00847e-09 0.308931
0.8 1.60043e-08 -0.322936 -1.06106e-09 0.322936
0.82 1.67035e-08 -0.337051 -1.11455e-09 0.337051
0.84 1.74078e-08 -0.351268 -1.16893e-09 0.351268
0.86 1.81169e-08 -0.365583 -1.22441e-09 0.365583
0.88 1.88305e-08 -0.379988 -1.28065e-09 0.379988
0.9 1.95483e-08 -0.394479 -1.33782e-09 0.394479
0.92 2.027e-08 -0.409049 -1.39593e-09 0.409049
0.94 2.09955e-08 -0.423696 -1.45481e-09 0.423696
0.96 2.17244e-08 -0.438412 -1.51452e-09 0.438412
0.98 2.24565e-08 -0.453194 -1.57509e-09 0.453194
1 2.31917e-08 -0.468037 -1.63634e-09 0.468037
1.02 2.39297e-08 -0.482938 -1.69849e-09 0.482938
1.04 2.46702e-08 -0.497891 -1.76137e-09 0.497891
1.06 2.54132e-08 -0.512892 -1.825e-09 0.512892
1.08 2.61583e-08 -0.527939 -1.8893e-09 0.527939
1.1 2.69055e-08 -0.543027 -1.95434e-09 0.543027
1.12 2.76545e-08 -0.558152 -2.02003e-09 0.558152
1.14 2.84051e-08 -0.573311 -2.08638e-09 0.57331
1.16 2.91573e-08 -0.588499 -2.1533e-09 0.588499
1.18 2.99107e-08 -0.603715 -2.22106e-09 0.603715
1.2 3.06652e-08 -0.618954 -2.28944e-09 0.618954
1.22 3.14208e-08 -0.634212 -2.35834e-09 0.634212
1.24 3.21771e-08 -0.649488 -2.4279e-09 0.649488
1.26 3.2934e-08 -0.664776 -2.49797e-09 0.664776
1.28 3.36915e-08 -0.680075 -2.5686e-09 0.680075
1.3 3.44492e-08 -0.69538 -2.63992e-09 0.69538
1.32 3.52072e-08 -0.71069 -2.71165e-09 0.71069
1.34 3.59651e-08 -0.725999 -2.7839e-09 0.725999
1.36 3.67229e-08 -0.741306 -2.85688e-09 0.741306
1.38 3.74803e-08 -0.756607 -2.93029e-09 0.756607
1.4 3.82373e-08 -0.771899 -3.00395e-09 0.771899
1.42 3.89936e-08 -0.787178 -3.07825e-09 0.787178
1.44 3.97492e-08 -0.802442 -3.15281e-09 0.802442
1.46 4.05038e-08 -0.817687 -3.22814e-09 0.817687
1.48 4.12573e-08 -0.83291 -3.30365e-09 0.83291
1.5 4.20095e-08 -0.848107 -3.37967e-09 0.848107
