# Parameter sweep (sweep)
# Simulation    : dd
# Sweep variable: $bias
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# anode.current            A              real
# substrate.current        A              real
# --------------------------------------------------
#
# $bias anode.current substrate.current 
0 0 0
0.0225 2.93232e-23 -2.91933e-23
0.045 1.7339e-23 -1.72095e-23
0.0675 2.1527e-22 -2.14244e-22
0.09 -1.37845e-23 1.38009e-23
0.1125 -2.10182e-22 2.09209e-22
0.135 3.14934e-22 -3.13432e-22
0.1575 3.13573e-22 -3.12146e-22
0.18 1.96517e-22 -1.9561e-22
0.2025 -4.22288e-22 4.20372e-22
0.225 2.05578e-22 -2.0456e-22
0.2475 1.51945e-21 -1.51242e-21
0.27 -3.20901e-22 3.19302e-22
0.2925 -4.2966e-22 4.27721e-22
0.315 -7.64551e-22 7.61118e-22
0.3375 -4.58533e-22 4.56378e-22
0.36 -9.52513e-24 9.63098e-24
0.3825 -3.19437e-22 3.18087e-22
0.405 5.7432e-22 -5.71622e-22
0.4275 -8.71758e-22 8.67707e-22
0.45 -6.62589e-22 6.59788e-22
0.4725 -1.57084e-22 1.56347e-22
0.495 2.39584e-22 -2.38645e-22
0.5175 -1.73012e-23 1.71614e-23
0.54 2.10039e-21 -2.09074e-21
0.5625 6.82021e-22 -6.79309e-22
0.585 -5.88798e-22 5.86236e-22
0.6075 -5.85774e-22 5.83271e-22
0.63 -4.26529e-22 4.24048e-22
0.6525 2.11729e-21 -2.10747e-21
0.675 1.77818e-21 -1.76982e-21
0.6975 1.15779e-21 -1.1523e-21
0.72 -8.54073e-22 8.50519e-22
0.7425 1.07134e-22 -1.06491e-22
0.765 -1.96188e-21 1.95265e-21
0.7875 6.06708e-22 -6.03757e-22
0.81 -8.55953e-22 8.51672e-22
0.8325 3.12283e-21 -3.10907e-21
0.855 -5.59876e-22 5.5691e-22
0.8775 1.6237e-21 -1.61636e-21
0.9 8.7107e-22 -8.67587e-22
0.9225 1.9392e-22 -1.93343e-22
