# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi ElPotential eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z eNetRecombination hNetRecombination 
-25 3.94353 -0.163229 0 0 -0.791664 1.60688e-48 4.75717e+16 1140 144.2 -18.0735 0 0 0 0 0 0 0 0 0 0 
-24.019 3.94352 -0.16323 0 0 -0.791663 1.60699e-48 4.75685e+16 1140 144.2 -36.1774 0 0 0 0 0 0 0 0 0 0 
-23.0813 3.94352 -0.163236 0 0 -0.791657 1.6073e-48 4.75592e+16 1140 144.2 -70.8691 0 0 0 0 0 0 0 0 0 0 
-22.185 3.94351 -0.163243 0 0 -0.79165 1.60779e-48 4.75448e+16 1140 144.2 -104.231 0 0 0 0 0 0 0 0 0 0 
-21.3283 3.9435 -0.163254 0 0 -0.791639 1.60843e-48 4.75259e+16 1140 144.2 -136.391 0 0 0 0 0 0 0 0 0 0 
-20.5094 3.94349 -0.163266 0 0 -0.791627 1.60921e-48 4.75031e+16 1140 144.2 -167.457 0 0 0 0 0 0 0 0 0 0 
-19.7266 3.94347 -0.16328 0 0 -0.791613 1.6101e-48 4.74769e+16 1140 144.2 -197.517 0 0 0 0 0 0 0 0 0 0 
-18.9784 3.94346 -0.163296 0 0 -0.791597 1.61108e-48 4.74478e+16 1140 144.2 -226.643 0 0 0 0 0 0 0 0 0 0 
-18.2633 3.94344 -0.163313 0 0 -0.79158 1.61216e-48 4.74162e+16 1140 144.2 -254.896 0 0 0 0 0 0 0 0 0 0 
-17.5797 3.94342 -0.163332 0 0 -0.791561 1.6133e-48 4.73826e+16 1140 144.2 -282.326 0 0 0 0 0 0 0 0 0 0 
-16.9262 3.9434 -0.163351 0 0 -0.791542 1.61451e-48 4.73472e+16 1140 144.2 -308.973 0 0 0 0 0 0 0 0 0 0 
-16.3017 3.94338 -0.163371 0 0 -0.791522 1.61576e-48 4.73104e+16 1140 144.2 -334.873 0 0 0 0 0 0 0 0 0 0 
-15.7046 3.94336 -0.163392 0 0 -0.791501 1.61706e-48 4.72725e+16 1140 144.2 -360.053 0 0 0 0 0 0 0 0 0 0 
-15.134 3.94334 -0.163413 0 0 -0.79148 1.61839e-48 4.72337e+16 1140 144.2 -384.538 0 0 0 0 0 0 0 0 0 0 
-14.5885 3.94332 -0.163435 0 0 -0.791458 1.61974e-48 4.71943e+16 1140 144.2 -408.348 0 0 0 0 0 0 0 0 0 0 
-14.0672 3.9433 -0.163457 0 0 -0.791436 1.62111e-48 4.71543e+16 1140 144.2 -431.5 0 0 0 0 0 0 0 0 0 0 
-13.5688 3.94328 -0.163479 0 0 -0.791414 1.6225e-48 4.71142e+16 1140 144.2 -454.01 0 0 0 0 0 0 0 0 0 0 
-13.0924 3.94325 -0.163501 0 0 -0.791392 1.62389e-48 4.70738e+16 1140 144.2 -475.891 0 0 0 0 0 0 0 0 0 0 
-12.6371 3.94323 -0.163523 0 0 -0.79137 1.62528e-48 4.70335e+16 1140 144.2 -497.155 0 0 0 0 0 0 0 0 0 0 
-12.2018 3.94321 -0.163545 0 0 -0.791348 1.62667e-48 4.69934e+16 1140 144.2 -517.813 0 0 0 0 0 0 0 0 0 0 
-11.7858 3.94319 -0.163567 0 0 -0.791326 1.62805e-48 4.69535e+16 1140 144.2 -537.876 0 0 0 0 0 0 0 0 0 0 
-11.3882 3.94317 -0.163589 0 0 -0.791304 1.62942e-48 4.6914e+16 1140 144.2 -557.353 0 0 0 0 0 0 0 0 0 0 
