# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Strain_11
# 3 Strain_22
# 4 Strain_33
# 5 Strain_12
# 6 Strain_23
# 7 Strain_13
# 8 Stress_11
# 9 Stress_22
# 10 Stress_33
# 11 Stress_12
# 12 Stress_23
# 13 Stress_13
# 14 Displacement_x
# 15 Displacement_y
# 16 Displacement_z
# x Strain_11 Strain_22 Strain_33 Strain_12 Strain_23 Strain_13 Stress_11 Stress_22 Stress_33 Stress_12 Stress_23 Stress_13 Displacement_x Displacement_y Displacement_z 
-25 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -9.20803e-43 0 0 
-24.019 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.06283e-26 0 0 
-23.0813 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.07874e-26 0 0 
-22.185 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -3.0498e-26 0 0 
-21.3283 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -3.978e-26 0 0 
-20.5094 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -4.86522e-26 0 0 
-19.7266 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -5.71328e-26 0 0 
-18.9784 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -6.52389e-26 0 0 
-18.2633 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -7.29873e-26 0 0 
-17.5797 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -8.03936e-26 0 0 
-16.9262 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -8.74729e-26 0 0 
-16.3017 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -9.42397e-26 0 0 
-15.7046 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.00708e-25 0 0 
-15.134 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.0689e-25 0 0 
-14.5885 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.128e-25 0 0 
-14.0672 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.18449e-25 0 0 
-13.5688 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.23848e-25 0 0 
-13.0924 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.29009e-25 0 0 
-12.6371 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.33942e-25 0 0 
-12.2018 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.38658e-25 0 0 
-11.7858 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.43165e-25 0 0 
-11.3882 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.47473e-25 0 0 
-11.0081 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.51592e-25 0 0 
-10.6447 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.55528e-25 0 0 
-10.2975 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.5929e-25 0 0 
-9.9655 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.62887e-25 0 0 
-9.6482 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.66325e-25 0 0 
-9.34491 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.69611e-25 0 0 
-9.05501 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.72751e-25 0 0 
-8.7779 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.75754e-25 0 0 
-8.51303 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.78623e-25 0 0 
-8.25984 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.81366e-25 0 0 
-8.01784 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.83988e-25 0 0 
-7.78652 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.86495e-25 0 0 
-7.56541 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.8889e-25 0 0 
-7.35406 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.9118e-25 0 0 
-7.15204 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.93369e-25 0 0 
-6.95894 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.95461e-25 0 0 
-6.77437 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.9746e-25 0 0 
-6.59794 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -1.99372e-25 0 0 
-6.4293 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.01199e-25 0 0 
-6.2681 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.02945e-25 0 0 
-6.11402 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.04615e-25 0 0 
-5.96675 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.0621e-25 0 0 
-5.82597 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.07736e-25 0 0 
-5.69141 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.09193e-25 0 0 
-5.56279 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.10587e-25 0 0 
-5.43984 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.11919e-25 0 0 
-5.32233 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.13192e-25 0 0 
-5.21 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.14409e-25 0 0 
-5.10263 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.15572e-25 0 0 
-5 -2.32879e-16 0 0 0 0 0 -9.20803e-14 -2.43358e-14 -2.43358e-14 0 -6.61881e-30 0 -2.16684e-25 0 0 
-5 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.38138e-14 -3.25682 -3.25682 0 -1.81167e-14 0 -2.16684e-25 0 0 
-4.89899 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.27036e-14 -3.25682 -3.25682 0 -1.81167e-14 0 1.55857e-12 0 0 
-4.79798 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.15934e-14 -3.25682 -3.25682 0 -1.81167e-14 0 3.11714e-12 0 0 
-4.69697 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.30367e-14 -3.25682 -3.25682 0 -1.81167e-14 0 4.67571e-12 0 0 
-4.59596 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.448e-14 -3.25682 -3.25682 0 -1.81167e-14 0 6.23428e-12 0 0 
-4.49495 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -9.30367e-14 -3.25682 -3.25682 0 -1.81167e-14 0 7.79285e-12 0 0 
-4.39394 0.00368442 -0.00724365 -0.00724365 0 -8.19657e-17 0 -8.88178e-14 -3.25682 -3.25682 0 -1.81167e-14 0 9.35142e-12 0 0 
