# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 Ec
# 3 Ev
# 4 eQFermi
# 5 hQFermi
# 6 eDensity
# 7 hDensity
# 8 eMobility
# 9 hMobility
# 10 ElField_x
# 11 ElField_y
# 12 ElField_z
# 13 Polarization_x
# 14 Polarization_y
# 15 Polarization_z
# 16 eCurrentDensity_x
# 17 eCurrentDensity_y
# 18 eCurrentDensity_z
# 19 hCurrentDensity_x
# 20 hCurrentDensity_y
# 21 hCurrentDensity_z
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z eCurrentDensity_x eCurrentDensity_y eCurrentDensity_z hCurrentDensity_x hCurrentDensity_y hCurrentDensity_z 
0 0.0149116 -3.85479 0 -2.21263 1.26433e+18 6.27488e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.03047e-20 0 0 
9.97664 0.0149106 -3.85479 -1.06702e-06 -2.21276 1.26433e+18 6.30578e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.05573e-20 0 0 
19.8873 0.0149095 -3.85479 -2.12698e-06 -2.21289 1.26433e+18 6.33815e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.10602e-20 0 0 
29.7324 0.0149084 -3.85479 -3.17994e-06 -2.21303 1.26433e+18 6.37199e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.15625e-20 0 0 
39.5124 0.0149074 -3.8548 -4.22592e-06 -2.21317 1.26433e+18 6.40731e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.20642e-20 0 0 
49.2277 0.0149064 -3.8548 -5.26499e-06 -2.21332 1.26433e+18 6.44409e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.25653e-20 0 0 
58.8787 0.0149053 -3.8548 -6.29719e-06 -2.21348 1.26433e+18 6.48235e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.30661e-20 0 0 
68.4659 0.0149043 -3.8548 -7.32256e-06 -2.21364 1.26433e+18 6.52209e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.35665e-20 0 0 
77.9897 0.0149033 -3.8548 -8.34114e-06 -2.2138 1.26433e+18 6.56331e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.40668e-20 0 0 
87.4504 0.0149023 -3.8548 -9.35299e-06 -2.21397 1.26433e+18 6.60602e-09 1260 162.8 -1.06952 0 0 -0.04184 0 0 -272.98 0 0 -1.45669e-20 0 0 
