# ASCII 1D datafile generated by TiberCAD
# x Ec Ev eQFermi hQFermi eDensity hDensity eMobility hMobility ElField_x ElField_y ElField_z Polarization_x Polarization_y Polarization_z CurrentDensity_x CurrentDensity_y CurrentDensity_z 
-100 0.136988 -1.76177 0 0 9.44982e+16 9.2826e-12 4361.09 218.347 88.8173 0 0 0 0 0 0 0 0 
-95.9705 0.137024 -1.76173 0 0 9.43676e+16 9.29545e-12 4361.09 218.347 181.684 0 0 0 0 0 0 0 0 
-92.0933 0.137129 -1.76163 0 0 9.39851e+16 9.33332e-12 4361.09 218.347 371.811 0 0 0 0 0 0 0 0 
-88.3625 0.137304 -1.76145 0 0 9.3352e+16 9.39667e-12 4361.09 218.347 583.908 0 0 0 0 0 0 0 0 
-84.7727 0.137553 -1.76121 0 0 9.24566e+16 9.48776e-12 4361.09 218.347 830.212 0 0 0 0 0 0 0 0 
-81.3185 0.137885 -1.76087 0 0 9.12785e+16 9.61032e-12 4361.09 218.347 1122.32 0 0 0 0 0 0 0 0 
-77.9947 0.13831 -1.76045 0 0 8.97923e+16 9.76952e-12 4361.09 218.347 1471.53 0 0 0 0 0 0 0 0 
-74.7965 0.13884 -1.75992 0 0 8.7971e+16 9.97195e-12 4361.09 218.347 1888.94 0 0 0 0 0 0 0 0 
-71.7192 0.13949 -1.75927 0 0 8.57893e+16 1.02258e-11 4361.09 218.347 2385.37 0 0 0 0 0 0 0 0 
-68.7581 0.140274 -1.75848 0 0 8.32274e+16 1.05408e-11 4361.09 218.347 2971.12 0 0 0 0 0 0 0 0 
-65.9088 0.141209 -1.75755 0 0 8.02737e+16 1.09289e-11 4361.09 218.347 3655.69 0 0 0 0 0 0 0 0 
-63.1672 0.14231 -1.75645 0 0 7.69289e+16 1.14045e-11 4361.09 218.347 4447.27 0 0 0 0 0 0 0 0 
-60.5291 0.143593 -1.75517 0 0 7.32078e+16 1.19846e-11 4361.09 218.347 5352.41 0 0 0 0 0 0 0 0 
-57.9907 0.145071 -1.75369 0 0 6.91413e+16 1.26899e-11 4361.09 218.347 6375.49 0 0 0 0 0 0 0 0 
-55.5482 0.146758 -1.752 0 0 6.47767e+16 1.35455e-11 4361.09 218.347 7518.42 0 0 0 0 0 0 0 0 
-53.198 0.148663 -1.7501 0 0 6.01764e+16 1.45816e-11 4361.09 218.347 8780.34 0 0 0 0 0 0 0 0 
-50.9365 0.150795 -1.74796 0 0 5.54153e+16 1.58352e-11 4361.09 218.347 10157.6 0 0 0 0 0 0 0 0 
-48.7605 0.153159 -1.7456 0 0 5.05767e+16 1.73509e-11 4361.09 218.347 11643.6 0 0 0 0 0 0 0 0 
-46.6667 0.155754 -1.743 0 0 4.5747e+16 1.91836e-11 4361.09 218.347 13229.3 0 0 0 0 0 0 0 0 
-44.6519 0.158581 -1.74018 0 0 4.10107e+16 2.14e-11 4361.09 218.347 14903.5 0 0 0 0 0 0 0 0 
-42.7133 0.161633 -1.73713 0 0 3.64452e+16 2.40818e-11 4361.09 218.347 16653.2 0 0 0 0 0 0 0 0 
-40.8479 0.164903 -1.73386 0 0 3.21167e+16 2.73285e-11 4361.09 218.347 18464.7 0 0 0 0 0 0 0 0 
-39.053 0.168379 -1.73038 0 0 2.80771e+16 3.12616e-11 4361.09 218.347 20323.4 0 0 0 0 0 0 0 0 
-37.3259 0.172048 -1.72671 0 0 2.43629e+16 3.60289e-11 4361.09 218.347 22214.9 0 0 0 0 0 0 0 0 
-35.664 0.175895 -1.72286 0 0 2.0995e+16 4.18098e-11 4361.09 218.347 24125.7 0 0 0 0 0 0 0 0 
-34.0649 0.179903 -1.71886 0 0 1.79801e+16 4.88217e-11 4361.09 218.347 26042.9 0 0 0 0 0 0 0 0 
-32.5263 0.184055 -1.7147 0 0 1.53128e+16 5.73273e-11 4361.09 218.347 27955 0 0 0 0 0 0 0 0 
-31.0457 0.188333 -1.71043 0 0 1.2978e+16 6.76422e-11 4361.09 218.347 29852 0 0 0 0 0 0 0 0 
-29.6211 0.192717 -1.70604 0 0 1.09536e+16 8.0145e-11 4361.09 218.347 31725.1 0 0 0 0 0 0 0 0 
-28.2503 0.197191 -1.70157 0 0 9.21311e+15 9.52872e-11 4361.09 218.347 33567.2 0 0 0 0 0 0 0 0 
-26.9312 0.201737 -1.69702 0 0 7.72767e+15 1.13605e-10 4361.09 218.347 35372.5 0 0 0 0 0 0 0 0 
