# EFA eigenstates (quantum_el)
# Particle: electron
#
# Index EigenEnergy     Occupation  FermiLevel Temperature
      0 -0.00771461       0.574055           0         300
      1   0.0162098       0.348186           0         300
      2   0.0673943      0.0686939           0         300
      3     0.13806     0.00477119           0         300
      4     0.22309    0.000178721           0         300
      5    0.270625    2.84244e-05           0         300
      6    0.279443    2.02099e-05           0         300
      7    0.329523    2.91251e-06           0         300
      8    0.386296     3.2398e-07           0         300
      9    0.420014    8.79191e-08           0         300
     10     0.48965    5.94644e-09           0         300
     11    0.571696    2.48849e-10           0         300
     12    0.630332    2.57568e-11           0         300
     13    0.709085    1.22435e-12           0         300
     14    0.816552    1.91665e-14           0         300
     15    0.907144    5.76338e-16           0         300
     16    0.995064    1.92165e-17           0         300
     17     1.11639    1.75995e-19           0         300
     18     1.24554    1.19111e-21           0         300
     19     1.35596    1.66331e-23           0         300
     20     1.48021    1.36025e-25           0         300
     21     1.63658    3.21184e-28           0         300
     22     1.78847    9.01769e-31           0         300
