# Parameter sweep (sweep)
# Simulation    : selfconsistent
# Sweep variable: $Vb
# Data ordering : column
# Data:
# --------------------------------------------------
# Name                     Units          Type
# --------------------------------------------------
# MaxTemp                  K              real
# anode.current            A              real
# cathode.current          A              real
# --------------------------------------------------
#
# $Vb MaxTemp anode.current cathode.current 
0 300.002 0 0
0.1 300.003 -3.22475e-14 3.22481e-14
0.2 300.002 -1.80544e-12 1.80544e-12
0.3 300.002 -8.62532e-11 8.62532e-11
0.4 300.002 -4.10897e-09 4.10897e-09
0.5 300.002 -1.95302e-07 1.95302e-07
0.6 300.003 -8.57147e-06 8.57148e-06
0.7 300.024 -0.000265644 0.000265644
0.8 300.226 -0.00451647 0.00451647
0.9 301.082 -0.0212959 0.0212959
1 302.584 -0.0465325 0.0465325
1.1 304.504 -0.0759708 0.0759708
1.2 306.864 -0.1082 0.1082
